Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
CCTYQ,CIRCUIT CITY STORES INC,Equity,0.0127,11.90,177333,$2110263,2110263.00,Consumer Discretionary,2199326,US1727371080,Non-Nms Quotation Service (Nnqs)
GAS.2,NICOR INC,Equity,0.0137,39.41,57473,$2265011,2265011.00,Utilities,2639509,US6540861076,New York Stock Exchange Inc.
DDS,DILLARDS INC CLASS A,Equity,0.0141,29.89,78061,$2333243,2333243.00,Consumer Discretionary,2269768,US2540671011,New York Stock Exchange Inc.
QLG,QLOGIC,Equity,0.0163,13.29,203229,$2700913,2700913.00,Information Technology,5643808,US7472771010,Boerse Muenchen
MDP,MEREDITH CORP.,Equity,0.0170,56.49,49729,$2809191,2809191.00,Consumer Discretionary,2578516,US5894331017,New York Stock Exchange Inc.
NOVL,NOVELL,Equity,0.0179,6.71,442345,$2968135,2968135.00,Information Technology,2650793,US6700061053,NASDAQ
TRB,TRIBUNE COMPANY,Equity,0.0182,27.96,107748,$3012634,3012634.00,Consumer Discretionary,2903550,US8960471071,New York Stock Exchange Inc.
HPC,HERCULES INC.,Equity,0.0185,20.76,147693,$3066107,3066107.00,Materials,2422442,US4270561065,New York Stock Exchange Inc.
KBH,KB HOME,Equity,0.0188,31.81,97898,$3114135,3114135.00,Consumer Discretionary,2485070,US48666K1097,New York Stock Exchange Inc.
THC,TENET HEALTHCARE CORP.,Equity,0.0188,5.18,601199,$3114211,3114211.00,Health Care,2626879,US88033G1004,New York Stock Exchange Inc.
OMX,OFFICEMAX INC.,Equity,0.0191,32.88,96292,$3166081,3166081.00,Consumer Discretionary,2109002,US67622P1012,New York Stock Exchange Inc.
BC,BRUNSWICK CORP,Equity,0.0195,27.96,115608,$3232400,3232400.00,Consumer Discretionary,2149309,US1170431092,New York Stock Exchange Inc.
CVG,CONVERGYS CORP.,Equity,0.0200,19.05,173897,$3312738,3312738.00,Information Technology,2284761,US2124851062,New York Stock Exchange Inc.
TEK,TEKTRONIX INC.,Equity,0.0206,32.85,104089,$3419324,3419324.00,Information Technology,2880501,US8791311009,New York Stock Exchange Inc.
JNY,JONES GROUP INC,Equity,0.0208,24.96,138086,$3446627,3446627.00,Consumer Discretionary,2477152,US48020T1016,New York Stock Exchange Inc.
UIS,UNISYS CORP.,Equity,0.0215,8.09,441021,$3567860,3567860.00,Information Technology,2931595,US9092143067,New York Stock Exchange Inc.
BIG,BIG LOTS INC.,Equity,0.0217,25.86,138996,$3594437,3594437.00,Consumer Discretionary,2218447,US0893021032,New York Stock Exchange Inc.
CPWR,COMPUWARE CORP.,Equity,0.0217,9.33,385644,$3598059,3598059.00,Information Technology,2220884,US2056381096,NASDAQ
AN,AUTONATION INC,Equity,0.0225,19.48,191391,$3728297,3728297.00,Consumer Discretionary,2732635,US05329W1027,New York Stock Exchange Inc.
TER,TERADYNE INC.,Equity,0.0229,15.69,241904,$3795474,3795474.00,Information Technology,2884183,US8807701029,New York Stock Exchange Inc.
UNS1,VIAVI SOLUTIONS INC,Equity,0.0233,14.33,269706,$3864887,3864887.00,Information Technology,B1G2LW5,US46612J5074,Boerse Stuttgart
SNA,SNAP-ON INC.,Equity,0.0233,52.33,73879,$3866088,3866088.00,Consumer Discretionary,2818740,US8330341012,New York Stock Exchange Inc.
WEN.2,WENDYS INTERNATIONAL INC.,Equity,0.0237,35.03,111827,$3917300,3917300.00,Consumer Discretionary,2947956,US9505901093,New York Stock Exchange Inc.
BMS,BEMIS INC,Equity,0.0238,29.47,133512,$3934599,3934599.00,Materials,2090173,US0814371052,New York Stock Exchange Inc.
CIEN,CIENA CORP,Equity,0.0238,36.53,107986,$3944729,3944729.00,Information Technology,B1FLZ21,US1717793095,New York Stock Exchange Inc.
WPI,WATSON PHARMACEUTICALS,Equity,0.0240,30.42,130858,$3980700,3980700.00,Health Care,2943545,US9426831031,New York Stock Exchange Inc.
FII,FEDERATED INVESTORS INC.,Equity,0.0246,36.01,112934,$4066753,4066753.00,Financials,2246288,US3142111034,New York Stock Exchange Inc.
MTG,MGIC INVESTMENT CORP,Equity,0.0247,38.66,105687,$4085859,4085859.00,Financials,2548616,US5528481030,New York Stock Exchange Inc.
AW,ALLIED WASTE INDUSTRIES INC.,Equity,0.0252,12.87,323711,$4166161,4166161.00,Industrials,2039831,US0195893088,New York Stock Exchange Inc.
NYT,NEW YORK TIMES CO. CL A,Equity,0.0254,22.86,183937,$4204800,4204800.00,Consumer Discretionary,2632003,US6501111073,New York Stock Exchange Inc.
R,RYDER SYSTEM INC,Equity,0.0257,54.37,78240,$4253909,4253909.00,Industrials,2760669,US7835491082,New York Stock Exchange Inc.
PKI,PERKINELMER INC.,Equity,0.0258,27.83,153434,$4270068,4270068.00,Health Care,2305844,US7140461093,New York Stock Exchange Inc.
TE,TECO ENERGY INC,Equity,0.0260,16.14,267092,$4310865,4310865.00,Utilities,2880255,US8723751009,New York Stock Exchange Inc.
SLR,SOLECTRON CORP.,Equity,0.0261,3.76,1149249,$4321176,4321176.00,Information Technology,2820563,US8341821077,New York Stock Exchange Inc.
SSP,E.W. SCRIPPS CO. CL A,Equity,0.0262,40.97,105786,$4334052,4334052.00,Consumer Discretionary,2862532,US8110544025,New York Stock Exchange Inc.
ASH,ASHLAND INC,Equity,0.0262,61.06,71070,$4339534,4339534.00,Materials,B0BVFJ5,US0442091049,New York Stock Exchange Inc.
RSHCQ,RS LEGACY CORP,Equity,0.0263,25.13,173551,$4361337,4361337.00,Consumer Discretionary,2871505,US7504381036,Non-Nms Quotation Service (Nnqs)
BOL,BAUSCH & LOMB INC.,Equity,0.0267,63.93,69065,$4415325,4415325.00,Health Care,2084637,US0717071031,New York Stock Exchange Inc.
DYNIQ,DYNEGY INC.,Equity,0.0275,8.91,511327,$4555924,4555924.00,Utilities,B1VVRG3,US26817G3002,Non-Nms Quotation Service (Nnqs)
NVLS,NOVELLUS SYSTEMS INC.,Equity,0.0277,28.52,161102,$4594629,4594629.00,Information Technology,2650748,US6700081010,NASDAQ
CMS,CMS ENERGY CORP,Equity,0.0279,16.16,285935,$4620710,4620710.00,Utilities,2219224,US1258961002,New York Stock Exchange Inc.
FNP,FIFTH & PACIFIC CO INC,Equity,0.0282,35.14,133016,$4674182,4674182.00,Consumer Discretionary,2519861,US5393201018,New York Stock Exchange Inc.
LEG,LEGGETT & PLATT INC,Equity,0.0283,20.73,225894,$4682783,4682783.00,Consumer Discretionary,2510682,US5246601075,New York Stock Exchange Inc.
DJ,DOW JONES & COMPANY INC.,Equity,0.0287,57.38,82944,$4759327,4759327.00,Consumer Discretionary,2279002,US2605611050,New York Stock Exchange Inc.
DF,DEAN FOODS CO.,Equity,0.0288,28.77,165617,$4764801,4764801.00,Consumer Staples,2858649,US2423701042,New York Stock Exchange Inc.
TEG,INTEGRYS ENERGY GROUP INC.,Equity,0.0289,49.49,96645,$4782961,4782961.00,Utilities,2982098,US45822P1057,New York Stock Exchange Inc.
LXK,LEXMARK INTERNATIONAL INC.,Equity,0.0289,39.54,121159,$4790627,4790627.00,Information Technology,2511908,US5297711070,New York Stock Exchange Inc.
PNW,PINNACLE WEST CORP,Equity,0.0290,37.48,128277,$4807822,4807822.00,Utilities,2048804,US7234841010,New York Stock Exchange Inc.
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Equity,0.0299,50.11,98887,$4955228,4955228.00,Materials,2464165,US4595061015,New York Stock Exchange Inc.
MYL,MYLAN INC,Equity,0.0307,16.03,316886,$5079683,5079683.00,Health Care,2613804,US6285301072,NASDAQ
