Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
GHC,GRAHAM HOLDINGS COMPANY CO CLASS B,Equity,0.0331,418.59,12953,$5421996,-,Consumer Discretionary,2942003,US9396401088,New York Stock Exchange Inc.
MDP,MEREDITH CORP.,Equity,0.0118,25.08,77356,$1940088,-,Consumer Discretionary,2578516,US5894331017,New York Stock Exchange Inc.
AZO,AUTOZONE INC,Equity,0.0830,166.39,81662,$13587740,-,Consumer Discretionary,2065955,US0533321024,New York Stock Exchange Inc.
ISRG,INTUITIVE SURGICAL INC,Equity,0.0740,143.73,84377,$12127506,-,Health Care,2871301,US46120E6023,NASDAQ
GAS.2,NICOR INC,Equity,0.0190,32.14,96887,$3113948,-,Utilities,2639509,US6540861076,New York Stock Exchange Inc.
CF,CF INDUSTRIES HOLDINGS INC,Equity,0.0458,72.05,104202,$7507754,-,Materials,B0G4K50,US1252691001,New York Stock Exchange Inc.
DNB,DUN & BRADSTREET CORP,Equity,0.0574,81.40,115414,$9394700,-,Industrials,2636254,US26483E1001,New York Stock Exchange Inc.
SHLD,SEARS HOLDINGS CORP,Equity,0.0451,62.47,118140,$7380206,-,Consumer Discretionary,2634805,US8123501061,NASDAQ
R,RYDER SYSTEM INC,Equity,0.0202,27.69,119251,$3302060,-,Industrials,2760669,US7835491082,New York Stock Exchange Inc.
MIL.,MILLIPORE CORP,Equity,0.0430,59.10,119279,$7049389,-,Health Care,2594437,US6010731098,New York Stock Exchange Inc.
FLS,FLOWSERVE CORP,Equity,0.0499,67.90,120379,$8173734,-,Industrials,2288406,US34354P1057,New York Stock Exchange Inc.
RL,POLO RALPH LAUREN CORP.,Equity,0.0402,53.84,122232,$6580971,-,Consumer Discretionary,2018409,US7315721032,New York Stock Exchange Inc.
SNA,SNAP-ON INC.,Equity,0.0258,33.92,124680,$4229146,-,Consumer Discretionary,2818740,US8330341012,New York Stock Exchange Inc.
HAR,HARMAN INTERNATIONAL INDUSTRIES IN,Equity,0.0141,18.19,126665,$2304036,-,Consumer Discretionary,2411138,US4130861093,New York Stock Exchange Inc.
BDK,THE BLACK & DECKER CORPORATION,Equity,0.0318,40.30,129062,$5201199,-,Consumer Discretionary,2101503,US0917971006,New York Stock Exchange Inc.
GWW,WW GRAINGER INC,Equity,0.0702,83.88,137010,$11492399,-,Industrials,2380863,US3848021040,New York Stock Exchange Inc.
MX4A,CME GROUP INC CLASS A,Equity,0.1933,221.35,143016,$31656592,-,Financials,B012KV5,US12572Q1058,Boerse Berlin
WYNN,WYNN RESORTS LTD,Equity,0.0346,39.23,144322,$5661752,-,Consumer Discretionary,2963811,US9831341071,NASDAQ
CEPH,CEPHALON INC,Equity,0.0593,65.61,148165,$9721106,-,Health Care,2185143,US1567081096,NASDAQ
DO,DIAMOND OFFSHORE DRILLING INC,Equity,0.0661,72.41,149625,$10834346,-,Energy,2261021,US25271C1027,New York Stock Exchange Inc.
HRL,HORMEL FOODS CORP,Equity,0.0287,31.29,150095,$4696473,-,Consumer Staples,2437264,US4404521001,New York Stock Exchange Inc.
KBH,KB HOME,Equity,0.0168,18.07,152258,$2751302,-,Consumer Discretionary,2485070,US48666K1097,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,0.1750,183.45,156289,$28671217,-,Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
ICE,INTERCONTINENTALEXCHANGE INC.,Equity,0.0837,87.60,156414,$13701866,-,Financials,B0PBS81,US45865V1008,New York Stock Exchange Inc.
EMN,EASTMAN CHEMICAL,Equity,0.0381,39.68,157118,$6234442,-,Materials,2298386,US2774321002,New York Stock Exchange Inc.
WHR,WHIRLPOOL CORP,Equity,0.0438,45.16,159041,$7182292,-,Consumer Discretionary,2960384,US9633201069,New York Stock Exchange Inc.
TEG,INTEGRYS ENERGY GROUP INC.,Equity,0.0265,26.41,164276,$4338529,-,Utilities,2982098,US45822P1057,New York Stock Exchange Inc.
MTZ,M&T BANK CORP,Equity,0.0536,52.45,167297,$8774728,-,Financials,B0184C2,US55261F1049,Deutsche Boerse Ag
LXK,LEXMARK INTERNATIONAL INC.,Equity,0.0203,19.62,169052,$3316800,-,Information Technology,2511908,US5297711070,New York Stock Exchange Inc.
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Equity,0.0322,31.20,169275,$5281380,-,Materials,2464165,US4595061015,New York Stock Exchange Inc.
SWK,STANLEY WORKS,Equity,0.0394,38.03,169623,$6450763,-,Consumer Discretionary,2840549,US8546161097,New York Stock Exchange Inc.
