Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
TIE,TITANIUM METALS CORP.,Equity,0.0079,12.24,202364,$2476935,-,Materials,2340931,US8883392073,New York Stock Exchange Inc.
DV,DEVRY EDUCATION GROUP INC,Equity,0.0089,19.31,143849,$2777724,-,Consumer Discretionary,2267609,US2518931033,New York Stock Exchange Inc.
FSLR,FIRST SOLAR INC,Equity,0.0092,19.99,144575,$2890054,-,Information Technology,B1HMF22,US3364331070,NASDAQ
ANRZQ,ALPHA NATURAL RESOURCES INC,Equity,0.0103,5.94,540581,$3211051,-,Energy,B066NX5,US02076X1028,Non-Nms Quotation Service (Nnqs)
LXK,LEXMARK INTERNATIONAL INC.,Equity,0.0121,21.71,173994,$3777410,-,Information Technology,2511908,US5297711070,New York Stock Exchange Inc.
AN,AUTONATION INC,Equity,0.0130,40.20,101341,$4073908,-,Consumer Discretionary,2732635,US05329W1027,New York Stock Exchange Inc.
GHC,GRAHAM HOLDINGS COMPANY CO CLASS B,Equity,0.0134,352.50,11859,$4180298,-,Consumer Discretionary,2942003,US9396401088,New York Stock Exchange Inc.
BIG,BIG LOTS INC.,Equity,0.0153,30.44,157088,$4781759,-,Consumer Discretionary,2218447,US0893021032,New York Stock Exchange Inc.
FII,FEDERATED INVESTORS INC.,Equity,0.0154,21.22,226834,$4813417,-,Financials,2246288,US3142111034,New York Stock Exchange Inc.
RRD,RR DONNELLEY AND SONS,Equity,0.0156,10.98,446013,$4897223,-,Industrials,2276605,US2578671016,New York Stock Exchange Inc.
SHLD,SEARS HOLDINGS CORP,Equity,0.0158,52.75,93979,$4957392,-,Consumer Discretionary,2634805,US8123501061,NASDAQ
R,RYDER SYSTEM INC,Equity,0.0161,40.01,125648,$5027176,-,Industrials,2760669,US7835491082,New York Stock Exchange Inc.
THC,TENET HEALTHCARE CORP.,Equity,0.0170,5.19,1023955,$5314326,-,Health Care,2626879,US88033G1004,New York Stock Exchange Inc.
