Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
MV,METAVANTE TECHNOLOGIES INC.,Equity,0.0000,22.78,0,$0,-,Information Technology,B28TXD6,US5914071015,New York Stock Exchange Inc.
MDP,MEREDITH CORP.,Equity,0.0162,55.05,57237,$3150897,-,Consumer Discretionary,2578516,US5894331017,New York Stock Exchange Inc.
GAS.2,NICOR INC,Equity,0.0144,42.14,66295,$2793671,-,Utilities,2639509,US6540861076,New York Stock Exchange Inc.
AZO,AUTOZONE INC,Equity,0.0390,111.63,67961,$7586486,-,Consumer Discretionary,2065955,US0533321024,New York Stock Exchange Inc.
MX4A,CME GROUP INC CLASS A,Equity,0.2676,658.60,78988,$52021497,-,Financials,B012KV5,US12572Q1058,Boerse Berlin
MIL.,MILLIPORE CORP,Equity,0.0336,81.88,79744,$6529439,-,Health Care,2594437,US6010731098,New York Stock Exchange Inc.
ASH,ASHLAND INC,Equity,0.0210,49.24,82840,$4079042,-,Materials,B0BVFJ5,US0442091049,New York Stock Exchange Inc.
SNA,SNAP-ON INC.,Equity,0.0217,48.88,86188,$4212869,-,Consumer Discretionary,2818740,US8330341012,New York Stock Exchange Inc.
R,RYDER SYSTEM INC,Equity,0.0196,43.36,88035,$3817198,-,Industrials,2760669,US7835491082,New York Stock Exchange Inc.
RL,POLO RALPH LAUREN CORP.,Equity,0.0316,68.98,89022,$6140738,-,Consumer Discretionary,2018409,US7315721032,New York Stock Exchange Inc.
DDS,DILLARDS INC CLASS A,Equity,0.0094,20.39,89689,$1828759,-,Consumer Discretionary,2269768,US2540671011,New York Stock Exchange Inc.
DJ,DOW JONES & COMPANY INC.,Equity,0.0296,59.75,96462,$5763605,-,Consumer Discretionary,2279002,US2605611050,New York Stock Exchange Inc.
HAR,HARMAN INTERNATIONAL INDUSTRIES IN,Equity,0.0366,73.60,96688,$7116237,-,Consumer Discretionary,2411138,US4130861093,New York Stock Exchange Inc.
BDK,THE BLACK & DECKER CORPORATION,Equity,0.0415,82.65,97500,$8058375,-,Consumer Discretionary,2101503,US0917971006,New York Stock Exchange Inc.
GWW,WW GRAINGER INC,Equity,0.0455,88.30,100177,$8845629,-,Industrials,2380863,US3848021040,New York Stock Exchange Inc.
ICE,INTERCONTINENTALEXCHANGE INC.,Equity,0.0884,166.96,102915,$17182688,-,Financials,B0PBS81,US45865V1008,New York Stock Exchange Inc.
OMX,OFFICEMAX INC.,Equity,0.0141,24.93,110245,$2748408,-,Consumer Discretionary,2109002,US67622P1012,New York Stock Exchange Inc.
MTZ,M&T BANK CORP,Equity,0.0521,90.96,111446,$10137128,-,Financials,B0184C2,US55261F1049,Deutsche Boerse Ag
SHLD,SEARS HOLDINGS CORP,Equity,0.0610,105.51,112329,$11851833,-,Consumer Discretionary,2634805,US8123501061,NASDAQ
TEG,INTEGRYS ENERGY GROUP INC.,Equity,0.0295,51.01,112572,$5742298,-,Utilities,2982098,US45822P1057,New York Stock Exchange Inc.
KBH,KB HOME,Equity,0.0121,20.89,112767,$2355703,-,Consumer Discretionary,2485070,US48666K1097,New York Stock Exchange Inc.
TRB,TRIBUNE COMPANY,Equity,0.0181,31.04,113051,$3509103,-,Consumer Discretionary,2903550,US8960471071,New York Stock Exchange Inc.
WHR,WHIRLPOOL CORP,Equity,0.0482,80.96,115738,$9370148,-,Consumer Discretionary,2960384,US9633201069,New York Stock Exchange Inc.
AVB,AVALONBAY COMMUNITIES REIT INC,Equity,0.0607,99.44,118578,$11791396,-,Financials,2131179,US0534841012,New York Stock Exchange Inc.
MTG,MGIC INVESTMENT CORP,Equity,0.0145,23.52,119973,$2821765,-,Financials,2548616,US5528481030,New York Stock Exchange Inc.
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Equity,0.0312,50.14,120961,$6064985,-,Materials,2464165,US4595061015,New York Stock Exchange Inc.
