Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL,APPLE INC,Equity,3.5964,108.00,22339633,$2412680364,-,Information Technology,2046251,US0378331005,NASDAQ
XOM,EXXON MOBIL CORP,Equity,2.2937,96.71,15910927,$1538745750,-,Energy,2326618,US30231G1022,New York Stock Exchange Inc.
MSFT,MICROSOFT CORP,Equity,2.1514,46.95,30741444,$1443310796,-,Information Technology,2588173,US5949181045,NASDAQ
JNJ,JOHNSON & JOHNSON,Equity,1.6904,107.78,10522044,$1134065902,-,Health Care,2475833,US4781601046,New York Stock Exchange Inc.
GE,GENERAL ELECTRIC,Equity,1.4402,25.81,37434743,$966190717,-,Industrials,2380498,US3696041033,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.4210,140.16,6801554,$953305809,-,Financials,2073390,US0846707026,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,1.4026,53.09,17723530,$940942208,-,Financials,2649100,US9497461015,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.3141,87.27,10101685,$881574050,-,Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,1.2667,119.95,7084375,$849770781,-,Energy,2838555,US1667641005,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,1.2651,60.48,14032559,$848689168,-,Financials,2190385,US46625H1005,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,1.1584,50.25,15465096,$777121074,-,Telecommunication Services,2090571,US92343V1044,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,1.0561,29.95,23656630,$708516069,-,Health Care,2684703,US7170811035,New York Stock Exchange Inc.
T,AT&T INC,Equity,1.0048,34.84,19348151,$674089581,-,Telecommunication Services,2831811,US00206R1023,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,1.0035,17.16,39232930,$673237079,-,Financials,2295677,US0605051046,New York Stock Exchange Inc.
GILD,GILEAD SCIENCES INC,Equity,0.9416,112.00,5639916,$631670592,-,Health Care,2369174,US3755581036,NASDAQ
INTC,INTEL CORPORATION CORP,Equity,0.9364,34.01,18471299,$628208879,-,Information Technology,2463247,US4581401001,NASDAQ
MRK,MERCK & CO INC,Equity,0.9295,57.94,10762022,$623551555,-,Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
KO,COCA-COLA,Equity,0.9193,41.88,14726704,$616754364,-,Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
C,CITIGROUP INC,Equity,0.9025,53.53,11310947,$605474993,-,Financials,2297907,US1729674242,New York Stock Exchange Inc.
GOOGL,GOOGLE INC CLASS A,Equity,0.8970,567.87,1059720,$601783196,-,Information Technology,B020QX2,US38259P5089,NASDAQ
GOOG,GOOGLE INC CLASS C,Equity,0.8831,559.08,1059639,$592422972,-,Information Technology,BKM4JZ7,US38259P7069,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,0.8688,74.99,7772737,$582877548,-,Information Technology,B7TL820,US30303M1027,NASDAQ
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,0.8482,164.40,3461333,$569043145,-,Information Technology,2005973,US4592001014,New York Stock Exchange Inc.
PEP,PEPSICO INC,Equity,0.8059,96.17,5621607,$540629945,-,Consumer Staples,2681511,US7134481081,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,0.8025,91.38,5891882,$538400177,-,Consumer Discretionary,2270726,US2546871060,New York Stock Exchange Inc.
CMCSA,COMCAST A CORP,Equity,0.7967,55.35,9655957,$534457220,-,Consumer Discretionary,2044545,US20030N1019,NASDAQ
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.7732,89.01,5827969,$518747521,-,Consumer Staples,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
