Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
GHC,GRAHAM HOLDINGS COMPANY CO CLASS B,Equity,0.0228,360.23,13204,$4756477,-,Consumer Discretionary,2942003,US9396401088,New York Stock Exchange Inc.
AZO,AUTOZONE INC,Equity,0.0644,209.78,64158,$13459065,-,Consumer Discretionary,2065955,US0533321024,New York Stock Exchange Inc.
MDP,MEREDITH CORP.,Equity,0.0113,29.26,80400,$2352504,-,Consumer Discretionary,2578516,US5894331017,New York Stock Exchange Inc.
ISRG,INTUITIVE SURGICAL INC,Equity,0.1087,265.03,85776,$22733213,-,Health Care,2871301,US46120E6023,NASDAQ
GAS.2,NICOR INC,Equity,0.0202,42.29,99631,$4213395,-,Utilities,2639509,US6540861076,New York Stock Exchange Inc.
PCLN,PRICELINE GROUP INC/THE,Equity,0.1448,291.48,103864,$30274279,-,Consumer Discretionary,2779063,US7415034039,NASDAQ
SHLD,SEARS HOLDINGS CORP,Equity,0.0313,61.90,105764,$6546792,-,Consumer Discretionary,2634805,US8123501061,NASDAQ
FSLR,FIRST SOLAR INC,Equity,0.0652,127.85,106543,$13621523,-,Information Technology,B1HMF22,US3364331070,NASDAQ
DNB,DUN & BRADSTREET CORP,Equity,0.0348,65.90,110253,$7265673,-,Industrials,2636254,US26483E1001,New York Stock Exchange Inc.
R,RYDER SYSTEM INC,Equity,0.0213,38.37,116235,$4459937,-,Industrials,2760669,US7835491082,New York Stock Exchange Inc.
FLS,FLOWSERVE CORP,Equity,0.0526,89.38,122927,$10987215,-,Industrials,2288406,US34354P1057,New York Stock Exchange Inc.
SNA,SNAP-ON INC.,Equity,0.0249,41.23,126142,$5200835,-,Industrials,2818740,US8330341012,New York Stock Exchange Inc.
GWW,WW GRAINGER INC,Equity,0.0685,105.79,135411,$14325130,-,Industrials,2380863,US3848021040,New York Stock Exchange Inc.
DV,DEVRY EDUCATION GROUP INC,Equity,0.0248,38.11,136238,$5192030,-,Consumer Discretionary,2267609,US2518931033,New York Stock Exchange Inc.
MX4A,CME GROUP INC CLASS A,Equity,0.1707,248.08,143822,$35679362,-,Financials,B012KV5,US12572Q1058,Boerse Berlin
RL,POLO RALPH LAUREN CORP.,Equity,0.0523,75.74,144292,$10928676,-,Consumer Discretionary,2018409,US7315721032,New York Stock Exchange Inc.
CERN,CERNER CORP,Equity,0.0521,72.85,149590,$10897632,-,Health Care,2185284,US1567821046,NASDAQ
WYNN,WYNN RESORTS LTD,Equity,0.0584,80.61,151417,$12205724,-,Consumer Discretionary,2963811,US9831341071,NASDAQ
HRL,HORMEL FOODS CORP,Equity,0.0313,43.15,151633,$6542964,-,Consumer Staples,2437264,US4404521001,New York Stock Exchange Inc.
HAR,HARMAN INTERNATIONAL INDUSTRIES IN,Equity,0.0226,31.17,151702,$4728551,-,Consumer Discretionary,2411138,US4130861093,New York Stock Exchange Inc.
DO,DIAMOND OFFSHORE DRILLING INC,Equity,0.0425,58.18,152571,$8876581,-,Energy,2261021,US25271C1027,New York Stock Exchange Inc.
CF,CF INDUSTRIES HOLDINGS INC,Equity,0.0689,92.50,155716,$14403730,-,Materials,B0G4K50,US1252691001,New York Stock Exchange Inc.
EMN,EASTMAN CHEMICAL,Equity,0.0467,61.55,158628,$9763553,-,Materials,2298386,US2774321002,New York Stock Exchange Inc.
FMC,FMC CORP,Equity,0.0475,62.28,159358,$9924816,-,Materials,2328603,US3024913036,New York Stock Exchange Inc.
ICE,INTERCONTINENTALEXCHANGE INC.,Equity,0.0741,95.56,162116,$15491805,-,Financials,B0PBS81,US45865V1008,New York Stock Exchange Inc.
WHR,WHIRLPOOL CORP,Equity,0.0584,74.16,164661,$12211260,-,Consumer Discretionary,2960384,US9633201069,New York Stock Exchange Inc.
CEPH,CEPHALON INC,Equity,0.0446,56.61,164720,$9324799,-,Health Care,2185143,US1567081096,NASDAQ
TEG,INTEGRYS ENERGY GROUP INC.,Equity,0.0391,48.45,168570,$8167217,-,Utilities,2982098,US45822P1057,New York Stock Exchange Inc.
AN,AUTONATION INC,Equity,0.0184,22.58,170162,$3842258,-,Consumer Discretionary,2732635,US05329W1027,New York Stock Exchange Inc.
LXK,LEXMARK INTERNATIONAL INC.,Equity,0.0288,34.99,172348,$6030457,-,Information Technology,2511908,US5297711070,New York Stock Exchange Inc.
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Equity,0.0380,45.69,174019,$7950928,-,Materials,2464165,US4595061015,New York Stock Exchange Inc.
