Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
WFC,WELLS FARGO,Equity,1.4191,50.90,16081472,$818546925,-,Financials,2649100,US9497461015,New York Stock Exchange Inc.
AAPL,APPLE INC,Equity,3.3519,95.57,20230573,$1933435862,-,Information Technology,2046251,US0378331005,NASDAQ
JPM,JPMORGAN CHASE & CO,Equity,1.2696,57.67,12698555,$732325667,-,Financials,2190385,US46625H1005,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,2.4714,98.94,14408348,$1425561951,-,Energy,2326618,US30231G1022,New York Stock Exchange Inc.
KO,COCA-COLA,Equity,0.8638,39.29,12682139,$498281241,-,Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
MSFT,MICROSOFT CORP,Equity,1.8871,43.16,25220756,$1088527829,-,Information Technology,2588173,US5949181045,NASDAQ
WMT,WALMART STORES INC,Equity,0.6898,73.58,5407924,$397915048,-,Consumer Staples,2936921,US9311421039,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,1.6471,100.09,9492159,$950070194,-,Health Care,2475833,US4781601046,New York Stock Exchange Inc.
COP,CONOCOPHILLIPS,Equity,0.5891,82.50,4119208,$339834660,-,Energy,2685717,US20825C1045,New York Stock Exchange Inc.
GE,GENERAL ELECTRIC,Equity,1.4669,25.15,33644936,$846170140,-,Industrials,2380498,US3696041033,New York Stock Exchange Inc.
MCD,MCDONALDS CORP,Equity,0.5437,94.56,3316494,$313607673,-,Consumer Discretionary,2550707,US5801351017,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,1.4311,129.24,6387108,$825469838,-,Energy,2838555,US1667641005,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Equity,0.4841,52.34,5334967,$279232173,-,-,B92SR70,US00287Y1091,New York Stock Exchange Inc.
AXP,AMERICAN EXPRESS,Equity,0.4660,88.00,3054551,$268800488,-,Financials,2026082,US0258161092,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.3136,125.43,6040982,$757720372,-,Financials,2073390,US0846707026,New York Stock Exchange Inc.
