Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
GHC,GRAHAM HOLDINGS COMPANY CO CLASS B,Equity,0.0230,399.41,13043,$5209505,-,Consumer Discretionary,2942003,US9396401088,New York Stock Exchange Inc.
AZO,AUTOZONE INC,Equity,0.0634,228.91,62822,$14380584,-,Consumer Discretionary,2065955,US0533321024,New York Stock Exchange Inc.
MDP,MEREDITH CORP.,Equity,0.0116,33.31,79015,$2631990,-,Consumer Discretionary,2578516,US5894331017,New York Stock Exchange Inc.
ISRG,INTUITIVE SURGICAL INC,Equity,0.1078,283.74,86208,$24460658,-,Health Care,2871301,US46120E6023,NASDAQ
SHLD,SEARS HOLDINGS CORP,Equity,0.0308,72.14,96998,$6997436,-,Consumer Discretionary,2634805,US8123501061,NASDAQ
GAS.2,NICOR INC,Equity,0.0202,45.82,99831,$4574256,-,Utilities,2639509,US6540861076,New York Stock Exchange Inc.
PCLN,PRICELINE GROUP INC/THE,Equity,0.1628,348.34,106000,$36924040,-,Consumer Discretionary,2779063,US7415034039,NASDAQ
DNB,DUN & BRADSTREET CORP,Equity,0.0358,74.14,109653,$8129673,-,Industrials,2636254,US26483E1001,New York Stock Exchange Inc.
R,RYDER SYSTEM INC,Equity,0.0217,42.77,115284,$4930697,-,Industrials,2760669,US7835491082,New York Stock Exchange Inc.
FSLR,FIRST SOLAR INC,Equity,0.0767,147.35,118077,$17398646,-,Information Technology,B1HMF22,US3364331070,NASDAQ
FLS,FLOWSERVE CORP,Equity,0.0591,109.42,122543,$13408655,-,Industrials,2288406,US34354P1057,New York Stock Exchange Inc.
SNA,SNAP-ON INC.,Equity,0.0261,46.51,127522,$5931048,-,Industrials,2818740,US8330341012,New York Stock Exchange Inc.
GWW,WW GRAINGER INC,Equity,0.0686,119.11,130579,$15553265,-,Industrials,2380863,US3848021040,New York Stock Exchange Inc.
AN,AUTONATION INC,Equity,0.0141,23.25,137131,$3188296,-,Consumer Discretionary,2732635,US05329W1027,New York Stock Exchange Inc.
DV,DEVRY EDUCATION GROUP INC,Equity,0.0298,49.21,137544,$6768540,-,Consumer Discretionary,2267609,US2518931033,New York Stock Exchange Inc.
RL,POLO RALPH LAUREN CORP.,Equity,0.0566,89.86,142807,$12832637,-,Consumer Discretionary,2018409,US7315721032,New York Stock Exchange Inc.
MX4A,CME GROUP INC CLASS A,Equity,0.1691,260.45,147252,$38351783,-,Financials,B012KV5,US12572Q1058,Boerse Berlin
HAR,HARMAN INTERNATIONAL INDUSTRIES IN,Equity,0.0224,33.41,151881,$5074344,-,Consumer Discretionary,2411138,US4130861093,New York Stock Exchange Inc.
HRL,HORMEL FOODS CORP,Equity,0.0299,44.60,151937,$6776390,-,Consumer Staples,2437264,US4404521001,New York Stock Exchange Inc.
DO,DIAMOND OFFSHORE DRILLING INC,Equity,0.0454,67.77,152081,$10306529,-,Energy,2261021,US25271C1027,New York Stock Exchange Inc.
CERN,CERNER CORP,Equity,0.0575,83.99,155397,$13051794,-,Health Care,2185284,US1567821046,NASDAQ
CF,CF INDUSTRIES HOLDINGS INC,Equity,0.0655,95.50,155707,$14870019,-,Materials,B0G4K50,US1252691001,New York Stock Exchange Inc.
EMN,EASTMAN CHEMICAL,Equity,0.0516,74.00,158247,$11710278,-,Materials,2298386,US2774321002,New York Stock Exchange Inc.
FMC,FMC CORP,Equity,0.0479,68.41,158787,$10862619,-,Materials,2328603,US3024913036,New York Stock Exchange Inc.
ICE,INTERCONTINENTALEXCHANGE INC.,Equity,0.0749,104.72,162207,$16986317,-,Financials,B0PBS81,US45865V1008,New York Stock Exchange Inc.
ARG,AIRGAS INC,Equity,0.0489,67.95,163128,$11084548,-,Materials,2011561,US0093631028,New York Stock Exchange Inc.
WYNN,WYNN RESORTS LTD,Equity,0.0631,86.77,165047,$14321128,-,Consumer Discretionary,2963811,US9831341071,NASDAQ
CEPH,CEPHALON INC,Equity,0.0454,62.44,165056,$10306097,-,Health Care,2185143,US1567081096,NASDAQ
BIG,BIG LOTS INC.,Equity,0.0242,33.25,165398,$5499484,-,Consumer Discretionary,2218447,US0893021032,New York Stock Exchange Inc.
WHR,WHIRLPOOL CORP,Equity,0.0594,80.96,166493,$13479273,-,Consumer Discretionary,2960384,US9633201069,New York Stock Exchange Inc.
TEG,INTEGRYS ENERGY GROUP INC.,Equity,0.0388,52.06,169121,$8804439,-,Utilities,2982098,US45822P1057,New York Stock Exchange Inc.
LXK,LEXMARK INTERNATIONAL INC.,Equity,0.0337,44.62,171516,$7653044,-,Information Technology,2511908,US5297711070,New York Stock Exchange Inc.
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Equity,0.0375,48.52,175419,$8511330,-,Materials,2464165,US4595061015,New York Stock Exchange Inc.
TMK,TORCHMARK CORP,Equity,0.0415,53.14,177065,$9409234,-,Financials,2896713,US8910271043,New York Stock Exchange Inc.
AVB,AVALONBAY COMMUNITIES REIT INC,Equity,0.0855,103.93,186565,$19389700,-,Financials,2131179,US0534841012,New York Stock Exchange Inc.
SRCL,STERICYCLE INC,Equity,0.0572,69.48,186867,$12983519,-,Industrials,2860826,US8589121081,NASDAQ
MTZ,M&T BANK CORP,Equity,0.0678,81.81,187877,$15370217,-,Financials,B0184C2,US55261F1049,Deutsche Boerse Ag
VFC,VF CORP,Equity,0.0676,81.02,189299,$15337005,-,Consumer Discretionary,2928683,US9182041080,New York Stock Exchange Inc.
ANF,ABERCROMBIE & FITCH CO. CL A,Equity,0.0335,39.32,193421,$7605314,-,Consumer Discretionary,2004185,US0028962076,New York Stock Exchange Inc.
SNI,SCRIPPS NETWORKS INTERACTIVE INC C,Equity,0.0412,47.58,196488,$9348899,-,Consumer Discretionary,B39QT24,US8110651010,NASDAQ
SHW,SHERWIN WILLIAMS,Equity,0.0655,75.14,197810,$14863443,-,Materials,2804211,US8243481061,New York Stock Exchange Inc.
TIE,TITANIUM METALS CORP.,Equity,0.0175,19.96,198448,$3961022,-,Materials,2340931,US8883392073,New York Stock Exchange Inc.
BLL,BALL CORP,Equity,0.0520,58.85,200612,$11806016,-,Materials,2073022,US0584981064,New York Stock Exchange Inc.
NVLS,NOVELLUS SYSTEMS INC.,Equity,0.0236,26.58,201144,$5346408,-,Information Technology,2650748,US6700081010,NASDAQ
WAT,WATER CORP CORP,Equity,0.0629,70.78,201627,$14271159,-,Health Care,2937689,US9418481035,New York Stock Exchange Inc.
FII,FEDERATED INVESTORS INC.,Equity,0.0203,22.76,202037,$4598362,-,Financials,2246288,US3142111034,New York Stock Exchange Inc.
BCR,C R BARD INC,Equity,0.0736,81.43,205154,$16705690,-,Health Care,2077905,US0673831097,New York Stock Exchange Inc.
ROP,ROPER TECHNOLOGIES INC,Equity,0.0593,65.18,206318,$13447807,-,Industrials,2749602,US7766961061,New York Stock Exchange Inc.
PDCO,PATTERSON COMPANIES INC,Equity,0.0267,28.65,211206,$6051052,-,Health Care,2672689,US7033951036,NASDAQ
MA,MASTERCARD INC CLASS A,Equity,0.2095,224.00,212132,$47517568,-,Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
ATI,ALLEGHENY TECHNOLOGIES INC,Equity,0.0443,46.45,216473,$10055171,-,Materials,2526117,US01741R1023,New York Stock Exchange Inc.
MEE,MASSEY ENERGY CO.,Equity,0.0306,31.02,223672,$6938305,-,Energy,2343662,US5762061068,New York Stock Exchange Inc.
DVA,DAVITA INC,Equity,0.0684,69.03,224765,$15515528,-,Health Care,2898087,US23918K1088,New York Stock Exchange Inc.
LH,LABORATORY CORPORATION OF AMERICA,Equity,0.0779,78.43,225203,$17662671,-,Health Care,2586122,US50540R4092,New York Stock Exchange Inc.
BF.B,BROWN FORMAN CORP CLASS B,Equity,0.0618,61.64,227351,$14013916,-,Consumer Staples,2146838,US1156372096,New York Stock Exchange Inc.
COG,CABOT OIL & GAS CORP,Equity,0.0302,30.11,227853,$6860654,-,Energy,2162340,US1270971039,New York Stock Exchange Inc.
HP,HELMERICH & PAYNE INC,Equity,0.0412,40.46,231285,$9357791,-,Energy,2420101,US4234521015,New York Stock Exchange Inc.
AIZ,ASSURANT INC,Equity,0.0419,40.70,233404,$9499543,-,Financials,2331430,US04621X1081,New York Stock Exchange Inc.
OKE,ONEOK INC,Equity,0.0464,45.04,233462,$10515128,-,Utilities,2130109,US6826801036,New York Stock Exchange Inc.
WPI,WATSON PHARMACEUTICALS,Equity,0.0439,42.31,235260,$9953851,-,Health Care,2943545,US9426831031,New York Stock Exchange Inc.
PNW,PINNACLE WEST CORP,Equity,0.0433,41.27,238005,$9822466,-,Utilities,2048804,US7234841010,New York Stock Exchange Inc.
QLG,QLOGIC,Equity,0.0185,17.64,238540,$4207846,-,Information Technology,5643808,US7472771010,Boerse Muenchen
BMS,BEMIS INC,Equity,0.0334,31.75,238947,$7586567,-,Materials,2090173,US0814371052,New York Stock Exchange Inc.
AVY,AVERY DENNISON CORP,Equity,0.0394,37.12,240786,$8937976,-,Industrials,2066408,US0536111091,New York Stock Exchange Inc.
AKS,AK STEEL HOLDING CORP.,Equity,0.0147,13.81,241827,$3339631,-,Materials,2067735,US0015471081,New York Stock Exchange Inc.
SCG,SCANA CORP,Equity,0.0439,40.32,246869,$9953758,-,Utilities,2545844,US80589M1027,New York Stock Exchange Inc.
EL,ESTEE LAUDER INC CLASS A,Equity,0.0697,63.23,250087,$15813001,-,Consumer Staples,2320524,US5184391044,New York Stock Exchange Inc.
RDC,ROWAN COMPANIES PLC,Equity,0.0335,30.36,250507,$7605393,-,Energy,2753197,US7793821007,New York Stock Exchange Inc.
LLL,L-3 COMMUNICATIONS HOLDINGS INC,Equity,0.0799,72.27,250759,$18122353,-,Industrials,2247366,US5024241045,New York Stock Exchange Inc.
PXD,PIONEER NATURAL RESOURCE,Equity,0.0728,65.03,254107,$16524578,-,Energy,2690830,US7237871071,New York Stock Exchange Inc.
PLL,PALL CORP,Equity,0.0469,41.64,255580,$10642351,-,Industrials,2668804,US6964293079,New York Stock Exchange Inc.
WEC,WEC ENERGY GROUP INC,Equity,0.0652,57.80,255948,$14793794,-,Utilities,2973995,US9766571064,New York Stock Exchange Inc.
CRM,SALESFORCE.COM INC,Equity,0.1262,111.80,256111,$28633210,-,Information Technology,2310525,US79466L3024,New York Stock Exchange Inc.
