Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL*,APPLE INC,Equity,3.1276,487.05,2790023,$1358880702,-,Information Technology,B011001,US0378331005,Bolsa Mexicana De Valores (Mexican Stock Exchange)
XOM,EXXON MOBIL CORP,Equity,2.6513,87.16,13216577,$1151956851,-,Energy,2326618,US30231G1022,New York Stock Exchange Inc.
MSFT,MICROSOFT CORP,Equity,1.7174,33.40,22340387,$746168926,-,Information Technology,2588173,US5949181045,NASDAQ
JNJ,JOHNSON & JOHNSON,Equity,1.6605,86.41,8349083,$721444262,-,Health Care,2475833,US4781601046,New York Stock Exchange Inc.
GEC,GENERAL ELECTRIC CO.,Equity,1.6369,23.14,30734745,$711201999,-,Industrials,5254471,US3696041033,Deutsche Boerse Ag
CVX,CHEVRON CORP,Equity,1.5975,120.43,5763322,$694076868,-,Energy,2838555,US1667641005,New York Stock Exchange Inc.
GOOGL,GOOGLE INC CLASS A,Equity,1.5569,846.90,798736,$676449518,-,Information Technology,B84V7F8,US38259P5089,Spot Regulated Market - Bvb
PG,PROCTER & GAMBLE,Equity,1.4605,77.89,8146617,$634539998,-,Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.3880,111.22,5422386,$603077771,-,Financials,2073390,US0846707026,New York Stock Exchange Inc.
WFC*,WELLS FARGO CO,Equity,1.3843,41.08,14640712,$601440449,-,Financials,B045BZ2,US9497461015,Bolsa Mexicana De Valores (Mexican Stock Exchange)
JPM,JPMORGAN CHASE,Equity,1.3066,50.53,11234490,$567678780,-,Financials,0190031,US46625H1005,London Stock Exchange
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,1.2997,182.27,3098032,$564678293,-,Information Technology,2005973,US4592001014,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,1.2879,28.21,19835097,$559548086,-,Health Care,2684703,US7170811035,New York Stock Exchange Inc.
T,AT&T INC,Equity,1.2451,33.83,15991199,$540982262,-,Telecommunication Services,2831811,US00206R1023,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,1.0413,14.12,32042314,$452437474,-,Financials,BHZL9B0,US0605051046,Swiss Exchange
C,CITIGROUP INC,Equity,1.0061,48.33,9044408,$437116239,-,Financials,2297907,US1729674242,New York Stock Exchange Inc.
KO,COCA-COLA,Equity,1.0004,38.18,11384648,$434665861,-,Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,0.9769,47.29,8975224,$424438343,-,Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.9336,83.44,4861266,$405624035,-,Consumer Staples,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,0.9274,47.38,8504040,$402921415,-,Telecommunication Services,2090571,US92343V1044,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,0.8522,23.31,15884829,$370275364,-,Information Technology,2198163,US17275R1023,NASDAQ
PEP,PEPSICO INC,Equity,0.8435,79.73,4596305,$366463398,-,Consumer Staples,2681511,US7134481081,New York Stock Exchange Inc.
WMT,WALMART STORES INC,Equity,0.8179,72.98,4869552,$355379905,-,Consumer Staples,2961280,US9311421039,Bolsa De Valores De Lima
ORCL,ORACLE CORP,Equity,0.8008,31.86,10920938,$347941085,-,Information Technology,2661568,US68389X1054,New York Stock Exchange Inc.
QCI,QUALCOMM,Equity,0.7834,66.28,5135439,$340376897,-,Information Technology,5382468,US7475251036,Deutsche Boerse Ag
CMCSA,COMCAST A CORP,Equity,0.7582,42.09,7827090,$329442218,-,Consumer Discretionary,2044545,US20030N1019,NASDAQ
DIS,WALT DISNEY,Equity,0.7494,60.83,5352879,$325615630,-,Consumer Discretionary,2270726,US2546871060,New York Stock Exchange Inc.
INCO,INTEL CORPORATION CORP,Equity,0.7475,21.98,14775079,$324756236,-,Information Technology,5923652,US4581401001,Nyse Euronext - Euronext Amsterdam
HD,HOME DEPOT INC,Equity,0.7444,74.49,4341812,$323421576,-,Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
SLBA,SCHLUMBERGER LTD.,Equity,0.7361,80.94,3951356,$319822755,-,Energy,4779232,AN8068571086,Nyse Euronext - Euronext Amsterdam
AMZN,AMAZON COM INC,Equity,0.7000,280.98,1082467,$304151578,-,Consumer Discretionary,2000019,US0231351067,NASDAQ
MCD,MCDONALDS CORP,Equity,0.6471,94.36,2979745,$281168738,-,Consumer Discretionary,2550707,US5801351017,New York Stock Exchange Inc.
GILD,GILEAD SCIENCES INC,Equity,0.6289,60.27,4533497,$273233864,-,Health Care,2369174,US3755581036,NASDAQ
