Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
GHC,GRAHAM HOLDINGS COMPANY CO CLASS B,Equity,0.0299,628.42,7963,$5004108,-,Consumer Discretionary,2942003,US9396401088,New York Stock Exchange Inc.
MDP,MEREDITH CORP.,Equity,0.0102,32.81,52023,$1706875,-,Consumer Discretionary,2578516,US5894331017,New York Stock Exchange Inc.
AZO,AUTOZONE INC,Equity,0.0445,126.56,58688,$7427553,-,Consumer Discretionary,2065955,US0533321024,New York Stock Exchange Inc.
GAS.2,NICOR INC,Equity,0.0150,40.83,61465,$2509616,-,Utilities,2639509,US6540861076,New York Stock Exchange Inc.
MX4A,CME GROUP INC CLASS A,Equity,0.1873,430.30,72725,$31293568,-,Financials,B012KV5,US12572Q1058,Boerse Berlin
MIL.,MILLIPORE CORP,Equity,0.0328,72.65,75375,$5475994,-,Health Care,2594437,US6010731098,New York Stock Exchange Inc.
ASH,ASHLAND INC,Equity,0.0245,53.67,76379,$4099261,-,Materials,B0BVFJ5,US0442091049,New York Stock Exchange Inc.
SNA,SNAP-ON INC.,Equity,0.0290,61.92,78367,$4852485,-,Consumer Discretionary,2818740,US8330341012,New York Stock Exchange Inc.
DDS,DILLARDS INC CLASS A,Equity,0.0077,16.28,78896,$1284427,-,Consumer Discretionary,2269768,US2540671011,New York Stock Exchange Inc.
R,RYDER SYSTEM INC,Equity,0.0349,73.43,79452,$5834160,-,Industrials,2760669,US7835491082,New York Stock Exchange Inc.
RL,POLO RALPH LAUREN CORP.,Equity,0.0338,69.85,80964,$5655335,-,Consumer Discretionary,2018409,US7315721032,New York Stock Exchange Inc.
HAR,HARMAN INTERNATIONAL INDUSTRIES IN,Equity,0.0223,44.72,83218,$3721509,-,Consumer Discretionary,2411138,US4130861093,New York Stock Exchange Inc.
BDK,THE BLACK & DECKER CORPORATION,Equity,0.0323,64.70,83343,$5392292,-,Consumer Discretionary,2101503,US0917971006,New York Stock Exchange Inc.
GWW,WW GRAINGER INC,Equity,0.0500,91.26,91639,$8362975,-,Industrials,2380863,US3848021040,New York Stock Exchange Inc.
ICE,INTERCONTINENTALEXCHANGE INC.,Equity,0.0792,138.20,95706,$13226569,-,Financials,B0PBS81,US45865V1008,New York Stock Exchange Inc.
SHLD,SEARS HOLDINGS CORP,Equity,0.0506,84.72,99740,$8449973,-,Consumer Discretionary,2634805,US8123501061,NASDAQ
WHR,WHIRLPOOL CORP,Equity,0.0456,73.68,103428,$7620575,-,Consumer Discretionary,2960384,US9633201069,New York Stock Exchange Inc.
TEG,INTEGRYS ENERGY GROUP INC.,Equity,0.0320,51.35,104250,$5353238,-,Utilities,2982098,US45822P1057,New York Stock Exchange Inc.
KBH,KB HOME,Equity,0.0128,20.51,104422,$2141695,-,Consumer Discretionary,2485070,US48666K1097,New York Stock Exchange Inc.
OMX,OFFICEMAX INC.,Equity,0.0136,21.68,104506,$2265690,-,Consumer Discretionary,2109002,US67622P1012,New York Stock Exchange Inc.
AVB,AVALONBAY COMMUNITIES REIT INC,Equity,0.0636,101.20,104983,$10624280,-,Financials,2131179,US0534841012,New York Stock Exchange Inc.
MTZ,M&T BANK CORP,Equity,0.0545,86.66,105041,$9102853,-,Financials,B0184C2,US55261F1049,Deutsche Boerse Ag
SWK,STANLEY WORKS,Equity,0.0311,48.58,107101,$5202967,-,Consumer Discretionary,2840549,US8546161097,New York Stock Exchange Inc.
EMN,EASTMAN CHEMICAL,Equity,0.0500,76.61,108987,$8349494,-,Materials,2298386,US2774321002,New York Stock Exchange Inc.
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Equity,0.0279,41.96,110952,$4655546,-,Materials,2464165,US4595061015,New York Stock Exchange Inc.
BF.B,BROWN FORMAN CORP CLASS B,Equity,0.0519,75.18,115390,$8675020,-,Consumer Staples,2146838,US1156372096,New York Stock Exchange Inc.
ANF,ABERCROMBIE & FITCH CO. CL A,Equity,0.0511,72.60,117655,$8541753,-,Consumer Discretionary,2004185,US0028962076,New York Stock Exchange Inc.
JNY,JONES GROUP INC,Equity,0.0119,16.82,117732,$1980252,-,Consumer Discretionary,2477152,US48020T1016,New York Stock Exchange Inc.
FII,FEDERATED INVESTORS INC.,Equity,0.0260,36.81,118056,$4345641,-,Financials,2246288,US3142111034,New York Stock Exchange Inc.
BC,BRUNSWICK CORP,Equity,0.0097,13.70,118423,$1622395,-,Consumer Discretionary,2149309,US1170431092,New York Stock Exchange Inc.
WEN.2,WENDYS INTERNATIONAL INC.,Equity,0.0210,29.66,118431,$3512663,-,Consumer Discretionary,2947956,US9505901093,New York Stock Exchange Inc.
CIEN,CIENA CORP,Equity,0.0218,30.56,119013,$3637037,-,Information Technology,B1FLZ21,US1717793095,New York Stock Exchange Inc.
VFC,VF CORP,Equity,0.0543,75.70,119912,$9077338,-,Consumer Discretionary,2928683,US9182041080,New York Stock Exchange Inc.
FLR,FLUOR CORP,Equity,0.1350,186.55,120892,$22552403,-,Industrials,2696838,US3434121022,New York Stock Exchange Inc.
SSP,E.W. SCRIPPS CO. CL A,Equity,0.0344,47.10,122106,$5751193,-,Consumer Discretionary,2862532,US8110544025,New York Stock Exchange Inc.
SAF,SAFECO CORP,Equity,0.0492,67.00,122657,$8218019,-,Financials,2766805,US7864291007,New York Stock Exchange Inc.
BIG,BIG LOTS INC.,Equity,0.0231,31.06,124127,$3855385,-,Consumer Discretionary,2218447,US0893021032,New York Stock Exchange Inc.
TMK,TORCHMARK CORP,Equity,0.0472,63.41,124404,$7888458,-,Financials,2896713,US8910271043,New York Stock Exchange Inc.
AIV,APARTMENT INVESTMENT & MANAGEMENT,Equity,0.0297,39.57,125489,$4965600,-,Financials,2057059,US03748R1014,New York Stock Exchange Inc.
