Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
PMCS,PMC-SIERRA INC.,Equity,0.0126,7.61,301147,$2291729,2291729.00,-,2807492,US69344F1066,NASDAQ
ADCT,ADC TELECOMMUNICATIONS,Equity,0.0127,13.79,167125,$2304654,2304654.00,-,B08G9Z7,US0008863096,NASDAQ
PGL,PEOPLES ENERGY CORPORATION,Equity,0.0133,43.39,55645,$2414437,2414437.00,-,2681403,US7110301063,New York Stock Exchange Inc.
NAV,NAVISTAR INTERNATIONAL CORP,Equity,0.0155,31.99,87672,$2804627,2804627.00,-,2624464,US63934E1082,New York Stock Exchange Inc.
SANM,SANMINA-SCI CORP.,Equity,0.0157,3.70,768151,$2842159,2842159.00,-,2780366,US8009072062,NASDAQ
MDP,MEREDITH CORP.,Equity,0.0166,54.10,55621,$3009096,3009096.00,-,2578516,US5894331017,New York Stock Exchange Inc.
CIEN,CIENA CORP,Equity,0.0167,25.14,120217,$3022255,3022255.00,-,B1FLZ21,US1717793095,New York Stock Exchange Inc.
NOVL,NOVELL,Equity,0.0167,6.28,483818,$3038377,3038377.00,-,2650793,US6700061053,NASDAQ
HPC,HERCULES INC.,Equity,0.0168,18.63,163470,$3045446,3045446.00,-,2422442,US4270561065,New York Stock Exchange Inc.
DDS,DILLARDS INC CLASS A,Equity,0.0171,35.57,87237,$3103020,3103020.00,-,2269768,US2540671011,New York Stock Exchange Inc.
PMTC,PARAMETRIC TECHNOLOGY CORP.,Equity,0.0171,19.36,160351,$3104395,3104395.00,-,B103771,US6991732099,NASDAQ
GAS.2,NICOR INC,Equity,0.0175,49.55,64140,$3178137,3178137.00,-,2639509,US6540861076,New York Stock Exchange Inc.
DJ,DOW JONES & COMPANY INC.,Equity,0.0185,36.09,92904,$3352905,3352905.00,-,2279002,US2605611050,New York Stock Exchange Inc.
RSHCQ,RS LEGACY CORP,Equity,0.0188,17.53,195032,$3418911,3418911.00,-,2871505,US7504381036,Non-Nms Quotation Service (Nnqs)
BIG,BIG LOTS INC.,Equity,0.0191,22.31,155559,$3470521,3470521.00,-,2218447,US0893021032,New York Stock Exchange Inc.
UIS,UNISYS CORP.,Equity,0.0197,7.21,495170,$3570176,3570176.00,-,2931595,US9092143067,New York Stock Exchange Inc.
TEK,TEKTRONIX INC.,Equity,0.0202,30.56,119974,$3666405,3666405.00,-,2880501,US8791311009,New York Stock Exchange Inc.
DYN,DYNEGY INC. (CL A),Equity,0.0203,6.79,542429,$3683093,3683093.00,-,-,US26816Q1013,New York Stock Exchange Inc.
BOL,BAUSCH & LOMB INC.,Equity,0.0205,48.42,76695,$3713572,3713572.00,-,2084637,US0717071031,New York Stock Exchange Inc.
WPI,WATSON PHARMACEUTICALS,Equity,0.0208,25.67,146871,$3770179,3770179.00,-,2943545,US9426831031,New York Stock Exchange Inc.
PKI,PERKINELMER INC.,Equity,0.0216,21.67,180692,$3915596,3915596.00,-,2305844,US7140461093,New York Stock Exchange Inc.
SNA,SNAP-ON INC.,Equity,0.0218,47.50,83213,$3952618,3952618.00,-,2818740,US8330341012,New York Stock Exchange Inc.
TER,TERADYNE INC.,Equity,0.0232,14.90,282584,$4210502,4210502.00,-,2884183,US8807701029,New York Stock Exchange Inc.
FII,FEDERATED INVESTORS INC.,Equity,0.0237,33.18,129623,$4300891,4300891.00,-,2246288,US3142111034,New York Stock Exchange Inc.
GT,GOODYEAR TIRE & RUBBER,Equity,0.0237,16.85,255308,$4301940,4301940.00,-,2378200,US3825501014,NASDAQ
BC,BRUNSWICK CORP,Equity,0.0238,32.37,133627,$4325506,4325506.00,-,2149309,US1170431092,New York Stock Exchange Inc.
SLR,SOLECTRON CORP.,Equity,0.0239,3.33,1304591,$4344288,4344288.00,-,2820563,US8341821077,New York Stock Exchange Inc.
WEN.2,WENDYS INTERNATIONAL INC.,Equity,0.0245,32.57,136547,$4447336,4447336.00,-,2947956,US9505901093,New York Stock Exchange Inc.
CPWR,COMPUWARE CORP.,Equity,0.0246,8.39,532317,$4466140,4466140.00,-,2220884,US2056381096,NASDAQ
AN,AUTONATION INC,Equity,0.0249,20.61,219455,$4522968,4522968.00,-,2732635,US05329W1027,New York Stock Exchange Inc.
AW,ALLIED WASTE INDUSTRIES INC.,Equity,0.0254,12.68,362943,$4602117,4602117.00,-,2039831,US0195893088,New York Stock Exchange Inc.
R,RYDER SYSTEM INC,Equity,0.0255,52.17,88707,$4627844,4627844.00,-,2760669,US7835491082,New York Stock Exchange Inc.
TAP,MOLSON COORS BREWING CLASS B,Equity,0.0256,71.08,65285,$4640458,4640458.00,-,B067BM3,US60871R2094,New York Stock Exchange Inc.
THC,TENET HEALTHCARE CORP.,Equity,0.0264,7.09,675588,$4789919,4789919.00,-,2626879,US88033G1004,New York Stock Exchange Inc.
CVG,CONVERGYS CORP.,Equity,0.0265,24.12,199539,$4812881,4812881.00,-,2284761,US2124851062,New York Stock Exchange Inc.
NYT,NEW YORK TIMES CO. CL A,Equity,0.0275,24.14,206722,$4990269,4990269.00,-,2632003,US6501111073,New York Stock Exchange Inc.
HCR,MANOR CARE INC.,Equity,0.0275,47.52,105177,$4998011,4998011.00,-,2417868,US5640551017,New York Stock Exchange Inc.
OMX,OFFICEMAX INC.,Equity,0.0275,47.07,106192,$4998457,4998457.00,-,2109002,US67622P1012,New York Stock Exchange Inc.
CCTYQ,CIRCUIT CITY STORES INC,Equity,0.0277,24.96,201650,$5033184,5033184.00,-,2199326,US1727371080,Non-Nms Quotation Service (Nnqs)
QLG,QLOGIC,Equity,0.0279,22.25,227729,$5066970,5066970.00,-,5643808,US7472771010,Boerse Muenchen
TE,TECO ENERGY INC,Equity,0.0281,16.99,300185,$5100143,5100143.00,-,2880255,US8723751009,New York Stock Exchange Inc.
BMS,BEMIS INC,Equity,0.0283,34.13,150226,$5127213,5127213.00,-,2090173,US0814371052,New York Stock Exchange Inc.
CMS,CMS ENERGY CORP,Equity,0.0284,16.21,318209,$5158168,5158168.00,-,2219224,US1258961002,New York Stock Exchange Inc.
TSG,SABRE HOLDINGS CORPORATION,Equity,0.0285,27.43,188394,$5167647,5167647.00,-,2786159,-,New York Stock Exchange Inc.
MIL.,MILLIPORE CORP,Equity,0.0287,68.41,76114,$5206959,5206959.00,-,2594437,US6010731098,New York Stock Exchange Inc.
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Equity,0.0294,47.11,113424,$5343405,5343405.00,-,2464165,US4595061015,New York Stock Exchange Inc.
