Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
GHC,GRAHAM HOLDINGS COMPANY CO CLASS B,Equity,0.0312,655.60,9058,$5938425,-,Consumer Discretionary,2942003,US9396401088,New York Stock Exchange Inc.
MDP,MEREDITH CORP.,Equity,0.0102,32.41,60053,$1946318,-,Consumer Discretionary,2578516,US5894331017,New York Stock Exchange Inc.
AZO,AUTOZONE INC,Equity,0.0430,120.75,67813,$8188420,-,Consumer Discretionary,2065955,US0533321024,New York Stock Exchange Inc.
GAS.2,NICOR INC,Equity,0.0131,35.12,70955,$2491940,-,Utilities,2639509,US6540861076,New York Stock Exchange Inc.
MX4A,CME GROUP INC CLASS A,Equity,0.2020,457.45,84040,$38444098,-,Financials,B012KV5,US12572Q1058,Boerse Berlin
MIL.,MILLIPORE CORP,Equity,0.0321,70.10,87055,$6102556,-,Health Care,2594437,US6010731098,New York Stock Exchange Inc.
ASH,ASHLAND INC,Equity,0.0245,53.02,88059,$4668888,-,Materials,B0BVFJ5,US0442091049,New York Stock Exchange Inc.
SNA,SNAP-ON INC.,Equity,0.0282,59.31,90412,$5362336,-,Consumer Discretionary,2818740,US8330341012,New York Stock Exchange Inc.
DDS,DILLARDS INC CLASS A,Equity,0.0097,20.40,90941,$1855196,-,Consumer Discretionary,2269768,US2540671011,New York Stock Exchange Inc.
R,RYDER SYSTEM INC,Equity,0.0329,68.47,91497,$6264800,-,Industrials,2760669,US7835491082,New York Stock Exchange Inc.
RL,POLO RALPH LAUREN CORP.,Equity,0.0305,62.11,93374,$5799459,-,Consumer Discretionary,2018409,US7315721032,New York Stock Exchange Inc.
HAR,HARMAN INTERNATIONAL INDUSTRIES IN,Equity,0.0206,40.87,95993,$3923234,-,Consumer Discretionary,2411138,US4130861093,New York Stock Exchange Inc.
BDK,THE BLACK & DECKER CORPORATION,Equity,0.0332,65.63,96118,$6308224,-,Consumer Discretionary,2101503,US0917971006,New York Stock Exchange Inc.
GWW,WW GRAINGER INC,Equity,0.0482,86.71,105874,$9180335,-,Industrials,2380863,US3848021040,New York Stock Exchange Inc.
ICE,INTERCONTINENTALEXCHANGE INC.,Equity,0.0899,155.15,110306,$17113976,-,Financials,B0PBS81,US45865V1008,New York Stock Exchange Inc.
SHLD,SEARS HOLDINGS CORP,Equity,0.0596,98.61,115070,$11347053,-,Consumer Discretionary,2634805,US8123501061,NASDAQ
WHR,WHIRLPOOL CORP,Equity,0.0456,72.78,119123,$8669772,-,Consumer Discretionary,2960384,US9633201069,New York Stock Exchange Inc.
TEG,INTEGRYS ENERGY GROUP INC.,Equity,0.0303,47.89,120310,$5761646,-,Utilities,2982098,US45822P1057,New York Stock Exchange Inc.
KBH,KB HOME,Equity,0.0142,22.50,120482,$2710845,-,Consumer Discretionary,2485070,US48666K1097,New York Stock Exchange Inc.
OMX,OFFICEMAX INC.,Equity,0.0116,18.27,120566,$2202741,-,Consumer Discretionary,2109002,US67622P1012,New York Stock Exchange Inc.
AVB,AVALONBAY COMMUNITIES REIT INC,Equity,0.0635,99.75,121043,$12074039,-,Financials,2131179,US0534841012,New York Stock Exchange Inc.
MTZ,M&T BANK CORP,Equity,0.0593,93.23,121101,$11290246,-,Financials,B0184C2,US55261F1049,Deutsche Boerse Ag
SWK,STANLEY WORKS,Equity,0.0313,48.24,123526,$5958894,-,Consumer Discretionary,2840549,US8546161097,New York Stock Exchange Inc.
EMN,EASTMAN CHEMICAL,Equity,0.0486,73.50,125777,$9244610,-,Materials,2298386,US2774321002,New York Stock Exchange Inc.
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Equity,0.0307,45.61,128107,$5842960,-,Materials,2464165,US4595061015,New York Stock Exchange Inc.
BF.B,BROWN FORMAN CORP CLASS B,Equity,0.0476,68.02,133275,$9065366,-,Consumer Staples,2146838,US1156372096,New York Stock Exchange Inc.
ANF,ABERCROMBIE & FITCH CO. CL A,Equity,0.0529,74.31,135540,$10071977,-,Consumer Discretionary,2004185,US0028962076,New York Stock Exchange Inc.
JNY,JONES GROUP INC,Equity,0.0113,15.83,135982,$2152595,-,Consumer Discretionary,2477152,US48020T1016,New York Stock Exchange Inc.
FII,FEDERATED INVESTORS INC.,Equity,0.0240,33.48,136306,$4563525,-,Financials,2246288,US3142111034,New York Stock Exchange Inc.
BC,BRUNSWICK CORP,Equity,0.0120,16.68,136673,$2279706,-,Consumer Discretionary,2149309,US1170431092,New York Stock Exchange Inc.
WEN.2,WENDYS INTERNATIONAL INC.,Equity,0.0208,29.00,136681,$3963749,-,Consumer Discretionary,2947956,US9505901093,New York Stock Exchange Inc.
CIEN,CIENA CORP,Equity,0.0244,33.81,137263,$4640862,-,Information Technology,B1FLZ21,US1717793095,New York Stock Exchange Inc.
VFC,VF CORP,Equity,0.0540,74.38,138162,$10276490,-,Consumer Discretionary,2928683,US9182041080,New York Stock Exchange Inc.
FLR,FLUOR CORP,Equity,0.1121,152.87,139507,$21326435,-,Industrials,2696838,US3434121022,New York Stock Exchange Inc.
SSP,E.W. SCRIPPS CO. CL A,Equity,0.0332,44.91,140721,$6319780,-,Consumer Discretionary,2862532,US8110544025,New York Stock Exchange Inc.
SAF,SAFECO CORP,Equity,0.0497,66.74,141637,$9452853,-,Financials,2766805,US7864291007,New York Stock Exchange Inc.
BIG,BIG LOTS INC.,Equity,0.0203,27.03,143107,$3868182,-,Consumer Discretionary,2218447,US0893021032,New York Stock Exchange Inc.
TMK,TORCHMARK CORP,Equity,0.0488,64.74,143384,$9282680,-,Financials,2896713,US8910271043,New York Stock Exchange Inc.
AIV,APARTMENT INVESTMENT & MANAGEMENT,Equity,0.0281,36.98,144834,$5355961,-,Financials,2057059,US03748R1014,New York Stock Exchange Inc.
