Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL*,APPLE INC,Equity,2.8249,500.60,2857718,$1430573631,-,Information Technology,B011001,US0378331005,Bolsa Mexicana De Valores (Mexican Stock Exchange)
XOM,EXXON MOBIL CORP,Equity,2.5251,92.16,13875278,$1278745620,-,Energy,2326618,US30231G1022,New York Stock Exchange Inc.
GOOGL,GOOGLE INC CLASS A,Equity,2.0786,1180.97,891317,$1052618637,-,Information Technology,B84V7F8,US38259P5089,Spot Regulated Market - Bvb
MSFT,MICROSOFT CORP,Equity,1.8034,37.85,24128628,$913268570,-,Information Technology,2588173,US5949181045,NASDAQ
GEC,GENERAL ELECTRIC CO.,Equity,1.5946,25.13,32134952,$807551344,-,Industrials,5254471,US3696041033,Deutsche Boerse Ag
JNJ,JOHNSON & JOHNSON,Equity,1.5656,88.47,8961461,$792820455,-,Health Care,2475833,US4781601046,New York Stock Exchange Inc.
WFC*,WELLS FARGO CO,Equity,1.3631,45.34,15225286,$690314467,-,Financials,B045BZ2,US9497461015,Bolsa Mexicana De Valores (Mexican Stock Exchange)
CVX,CHEVRON CORP,Equity,1.3465,111.63,6108414,$681882255,-,Energy,2838555,US1667641005,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.3063,76.62,8633683,$661512791,-,Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE,Equity,1.3053,55.36,11940013,$660999120,-,Financials,0190031,US46625H1005,London Stock Exchange
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.2599,111.60,5717269,$638047220,-,Financials,2073390,US0846707026,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,1.2357,30.40,20585415,$625796616,-,Health Care,2684703,US7170811035,New York Stock Exchange Inc.
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,1.1311,176.68,3241964,$572790200,-,Information Technology,2005973,US4592001014,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,1.1205,16.75,33878203,$567459900,-,Financials,BHZL9B0,US0605051046,Swiss Exchange
T,AT&T INC,Equity,1.1009,33.32,16732488,$557526500,-,Telecommunication Services,2831811,US00206R1023,New York Stock Exchange Inc.
