Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL,APPLE INC,Equity,3.0786,106.10,22820915,$2421299082,2421299081.50,Information Technology,2046251,US0378331005,NASDAQ
MSFT,MICROSOFT CORP,Equity,2.3926,57.46,32749532,$1881788109,1881788108.72,Information Technology,2588173,US5949181045,NASDAQ
XOM,EXXON MOBIL CORP,Equity,1.9141,87.14,17276278,$1505454865,1505454864.92,Energy,2326618,US30231G1022,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,1.7389,119.34,11460177,$1367657523,1367657523.18,Health Care,2475833,US4781601046,New York Stock Exchange Inc.
AMZN,AMAZON COM INC,Equity,1.5764,769.16,1611961,$1239855923,1239855922.76,Consumer Discretionary,2000019,US0231351067,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,1.5446,126.12,9632068,$1214796416,1214796416.16,Information Technology,B7TL820,US30303M1027,NASDAQ
GE,GENERAL ELECTRIC,Equity,1.5218,31.24,38312442,$1196880688,1196880688.08,Industrials,2380498,US3696041033,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.4938,150.49,7807120,$1174893489,1174893488.80,Financials,2073390,US0846707026,New York Stock Exchange Inc.
T,AT&T INC,Equity,1.3331,40.88,25648136,$1048495800,1048495799.68,Telecommunications,2831811,US00206R1023,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,1.3075,67.50,15234973,$1028360678,1028360677.50,Financials,2190385,US46625H1005,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,1.2433,50.80,19249080,$977853264,977853264.00,Financials,2649100,US9497461015,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.2311,87.31,11090246,$968289378,968289378.26,Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
GOOGL,ALPHABET INC CLASS A,Equity,1.2288,789.85,1223557,$966426496,966426496.45,Information Technology,BYVY8G0,US02079K3059,NASDAQ
GOOG,ALPHABET INC CLASS C,Equity,1.2001,767.05,1230571,$943909486,943909485.55,Information Technology,BYY88Y7,US02079K1079,NASDAQ
VZ,VERIZON COMMUNICATIONS INC,Equity,1.1300,52.33,16983306,$888736403,888736402.98,Telecommunications,2090571,US92343V1044,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,1.1180,34.80,25268379,$879339589,879339589.20,Health Care,2684703,US7170811035,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,1.0042,100.58,7852360,$789790369,789790368.80,Energy,2838555,US1667641005,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,0.9207,62.79,11532612,$724132707,724132707.48,Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
INTC,INTEL CORPORATION CORP,Equity,0.8978,35.89,19673593,$706085253,706085252.77,Information Technology,2463247,US4581401001,NASDAQ
KO,COCA-COLA,Equity,0.8958,43.43,16222086,$704525195,704525194.98,Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,0.8838,134.12,5182992,$695142887,695142887.04,Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,0.8782,16.14,42796596,$690737059,690737059.44,Financials,2295677,US0605051046,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,0.8377,31.44,20955640,$658845322,658845321.60,Information Technology,2198163,US17275R1023,NASDAQ
CMCSA,COMCAST A CORP,Equity,0.8358,65.26,10073245,$657379969,657379968.70,Consumer Discretionary,2044545,US20030N1019,NASDAQ
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.8212,99.93,6463140,$645861580,645861580.20,Consumer Staples,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
PEP,PEPSICO INC,Equity,0.8168,106.75,6017976,$642418938,642418938.00,Consumer Staples,2681511,US7134481081,New York Stock Exchange Inc.
V,VISA INC CLASS A,Equity,0.8163,80.90,7936064,$642027578,642027577.60,Information Technology,B2PZN04,US92826C8394,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,0.7469,94.46,6218917,$587438900,587438899.82,Consumer Discretionary,2270726,US2546871060,New York Stock Exchange Inc.
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,0.7433,158.88,3679594,$584613895,584613894.72,Information Technology,2005973,US4592001014,New York Stock Exchange Inc.
C,CITIGROUP INC,Equity,0.7422,47.74,12228005,$583764959,583764958.70,Financials,2297907,US1729674242,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,0.6853,136.05,3961404,$538949014,538949014.20,Health Care,2917766,US91324P1021,New York Stock Exchange Inc.
MO,ALTRIA GROUP INC,Equity,0.6850,66.09,8151196,$538712544,538712543.64,Consumer Staples,2692632,US02209S1033,New York Stock Exchange Inc.
ORCL,ORACLE CORP,Equity,0.6796,41.22,12967415,$534516846,534516846.30,Information Technology,2661568,US68389X1054,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,0.6768,170.06,3129850,$532262291,532262291.00,Health Care,2023607,US0311621009,NASDAQ
MDT,MEDTRONIC PLC,Equity,0.6483,87.03,5858573,$509871608,509871608.19,Health Care,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.
SLB,SCHLUMBERGER NV,Equity,0.5815,79.00,5789259,$457351461,457351461.00,Energy,2779201,AN8068571086,New York Stock Exchange Inc.
WMT,WALMART STORES INC,Equity,0.5779,71.44,6362712,$454552145,454552145.28,Consumer Staples,2936921,US9311421039,New York Stock Exchange Inc.
MMM,3M CO,Equity,0.5759,179.24,2526970,$452934103,452934102.80,Industrials,2595708,US88579Y1010,New York Stock Exchange Inc.
GILD,GILEAD SCIENCES INC,Equity,0.5530,78.38,5548873,$434920666,434920665.74,Health Care,2369174,US3755581036,NASDAQ
ABBV,ABBVIE INC,Equity,0.5492,64.10,6738528,$431939645,431939644.80,Health Care,B92SR70,US00287Y1091,New York Stock Exchange Inc.
MCD,MCDONALDS CORP,Equity,0.5379,115.66,3657489,$423025178,423025177.74,Consumer Discretionary,2550707,US5801351017,New York Stock Exchange Inc.
CVS,CVS HEALTH CORP,Equity,0.5314,93.40,4474782,$417944639,417944638.80,Consumer Staples,2577609,US1266501006,New York Stock Exchange Inc.
BMY,BRISTOL MYERS SQUIBB,Equity,0.5075,57.39,6954966,$399145499,399145498.74,Health Care,2126335,US1101221083,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,0.4969,96.63,4044719,$390841197,390841196.97,Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
AGN,ALLERGAN,Equity,0.4915,234.54,1648041,$386531536,386531536.14,Health Care,BY9D546,IE00BY9D5467,New York Stock Exchange Inc.
QCOM,QUALCOMM INC,Equity,0.4908,63.07,6120059,$385992121,385992121.13,Information Technology,2714923,US7475251036,NASDAQ
HON,HONEYWELL INTERNATIONAL INC,Equity,0.4712,116.71,3175261,$370584711,370584711.31,Industrials,2020459,US4385161066,New York Stock Exchange Inc.
UTX,UNITED TECHNOLOGIES CORP,Equity,0.4388,106.43,3242635,$345113643,345113643.05,Industrials,2915500,US9130171096,New York Stock Exchange Inc.
CELG,CELGENE CORP,Equity,0.4380,106.74,3227285,$344480401,344480400.90,Health Care,2182348,US1510201049,NASDAQ
SBUX,STARBUCKS CORP,Equity,0.4364,56.23,6103335,$343190527,343190527.05,Consumer Discretionary,2842255,US8552441094,NASDAQ
UNP,UNION PACIFIC CORP,Equity,0.4256,95.53,3504071,$334743903,334743902.63,Industrials,2914734,US9078181081,New York Stock Exchange Inc.
BA,BOEING,Equity,0.4106,129.45,2494791,$322950695,322950694.95,Industrials,2108601,US0970231058,New York Stock Exchange Inc.
NKE,NIKE INC CLASS B,Equity,0.4066,57.64,5547417,$319753116,319753115.88,Consumer Discretionary,2640147,US6541061031,New York Stock Exchange Inc.
LLY,ELI LILLY,Equity,0.4001,77.75,4047130,$314664358,314664357.50,Health Care,2516152,US5324571083,New York Stock Exchange Inc.
