Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
PMCS,PMC-SIERRA INC.,Equity,0.0123,7.73,307529,$2377199,2377199.00,Information Technology,2807492,US69344F1066,NASDAQ
SANM,SANMINA-SCI CORP.,Equity,0.0124,3.13,766065,$2397783,2397783.00,Information Technology,2780366,US8009072062,NASDAQ
GAS.2,NICOR INC,Equity,0.0144,42.92,64973,$2788641,2788641.00,Utilities,2639509,US6540861076,New York Stock Exchange Inc.
CCTYQ,CIRCUIT CITY STORES INC,Equity,0.0156,15.08,200733,$3027054,3027054.00,Consumer Discretionary,2199326,US1727371080,Non-Nms Quotation Service (Nnqs)
ADCT,ADC TELECOMMUNICATIONS,Equity,0.0161,18.33,169523,$3107357,3107357.00,Information Technology,B08G9Z7,US0008863096,NASDAQ
DDS,DILLARDS INC CLASS A,Equity,0.0164,35.93,88261,$3171218,3171218.00,Consumer Discretionary,2269768,US2540671011,New York Stock Exchange Inc.
HPC,HERCULES INC.,Equity,0.0170,19.65,167193,$3285342,3285342.00,Materials,2422442,US4270561065,New York Stock Exchange Inc.
MDP,MEREDITH CORP.,Equity,0.0179,61.60,56329,$3469866,3469866.00,Consumer Discretionary,2578516,US5894331017,New York Stock Exchange Inc.
TRB,TRIBUNE COMPANY,Equity,0.0185,29.40,121848,$3582331,3582331.00,Consumer Discretionary,2903550,US8960471071,New York Stock Exchange Inc.
QLG,QLOGIC,Equity,0.0198,16.65,229929,$3828318,3828318.00,Information Technology,5643808,US7472771010,Boerse Muenchen
NOVL,NOVELL,Equity,0.0202,7.79,500845,$3901583,3901583.00,Information Technology,2650793,US6700061053,NASDAQ
TEK,TEKTRONIX INC.,Equity,0.0206,33.74,117889,$3977575,3977575.00,Information Technology,2880501,US8791311009,New York Stock Exchange Inc.
UNS1,VIAVI SOLUTIONS INC,Equity,0.0212,13.43,305406,$4101603,4101603.00,Information Technology,B1G2LW5,US46612J5074,Boerse Stuttgart
SNA,SNAP-ON INC.,Equity,0.0218,50.51,83622,$4223747,4223747.00,Consumer Discretionary,2818740,US8330341012,New York Stock Exchange Inc.
BC,BRUNSWICK CORP,Equity,0.0221,32.63,130908,$4271528,4271528.00,Consumer Discretionary,2149309,US1170431092,New York Stock Exchange Inc.
OMX,OFFICEMAX INC.,Equity,0.0221,39.30,108892,$4279456,4279456.00,Consumer Discretionary,2109002,US67622P1012,New York Stock Exchange Inc.
KBH,KB HOME,Equity,0.0225,39.37,110798,$4362117,4362117.00,Consumer Discretionary,2485070,US48666K1097,New York Stock Exchange Inc.
CIEN,CIENA CORP,Equity,0.0228,36.13,122246,$4416748,4416748.00,Information Technology,B1FLZ21,US1717793095,New York Stock Exchange Inc.
JNY,JONES GROUP INC,Equity,0.0228,28.25,156386,$4417905,4417905.00,Consumer Discretionary,2477152,US48020T1016,New York Stock Exchange Inc.
THC,TENET HEALTHCARE CORP.,Equity,0.0229,6.51,680699,$4431351,4431351.00,Health Care,2626879,US88033G1004,New York Stock Exchange Inc.
PKI,PERKINELMER INC.,Equity,0.0234,26.06,173679,$4526075,4526075.00,Health Care,2305844,US7140461093,New York Stock Exchange Inc.
UIS,UNISYS CORP.,Equity,0.0236,9.14,499221,$4562880,4562880.00,Information Technology,2931595,US9092143067,New York Stock Exchange Inc.
BIG,BIG LOTS INC.,Equity,0.0239,29.42,157296,$4627648,4627648.00,Consumer Discretionary,2218447,US0893021032,New York Stock Exchange Inc.
WEN.2,WENDYS INTERNATIONAL INC.,Equity,0.0240,36.75,126527,$4649867,4649867.00,Consumer Discretionary,2947956,US9505901093,New York Stock Exchange Inc.
R,RYDER SYSTEM INC,Equity,0.0246,53.80,88440,$4758072,4758072.00,Industrials,2760669,US7835491082,New York Stock Exchange Inc.
CVG,CONVERGYS CORP.,Equity,0.0247,24.24,196997,$4775207,4775207.00,Information Technology,2284761,US2124851062,New York Stock Exchange Inc.
SLR,SOLECTRON CORP.,Equity,0.0247,3.68,1301049,$4787860,4787860.00,Information Technology,2820563,US8341821077,New York Stock Exchange Inc.
TER,TERADYNE INC.,Equity,0.0249,17.58,273704,$4811716,4811716.00,Information Technology,2884183,US8807701029,New York Stock Exchange Inc.
WPI,WATSON PHARMACEUTICALS,Equity,0.0249,32.53,148258,$4822833,4822833.00,Health Care,2943545,US9426831031,New York Stock Exchange Inc.
AN,AUTONATION INC,Equity,0.0251,22.44,216591,$4860302,4860302.00,Consumer Discretionary,2732635,US05329W1027,New York Stock Exchange Inc.
FII,FEDERATED INVESTORS INC.,Equity,0.0253,38.33,127934,$4903710,4903710.00,Financials,2246288,US3142111034,New York Stock Exchange Inc.
AW,ALLIED WASTE INDUSTRIES INC.,Equity,0.0255,13.46,366311,$4930546,4930546.00,Industrials,2039831,US0195893088,New York Stock Exchange Inc.
BMS,BEMIS INC,Equity,0.0259,33.18,151212,$5017214,5017214.00,Materials,2090173,US0814371052,New York Stock Exchange Inc.
ASH,ASHLAND INC,Equity,0.0266,63.95,80370,$5139662,5139662.00,Materials,B0BVFJ5,US0442091049,New York Stock Exchange Inc.
NVLS,NOVELLUS SYSTEMS INC.,Equity,0.0267,28.37,182402,$5174745,5174745.00,Information Technology,2650748,US6700081010,NASDAQ
CPWR,COMPUWARE CORP.,Equity,0.0268,11.86,436644,$5178598,5178598.00,Information Technology,2220884,US2056381096,NASDAQ
TE,TECO ENERGY INC,Equity,0.0268,17.18,302192,$5191659,5191659.00,Utilities,2880255,US8723751009,New York Stock Exchange Inc.
NYT,NEW YORK TIMES CO. CL A,Equity,0.0273,25.40,208237,$5289220,5289220.00,Consumer Discretionary,2632003,US6501111073,New York Stock Exchange Inc.
DJ,DOW JONES & COMPANY INC.,Equity,0.0279,57.45,94044,$5402828,5402828.00,Consumer Discretionary,2279002,US2605611050,New York Stock Exchange Inc.
BOL,BAUSCH & LOMB INC.,Equity,0.0280,69.44,78065,$5420834,5420834.00,Health Care,2084637,US0717071031,New York Stock Exchange Inc.
DYNIQ,DYNEGY INC.,Equity,0.0282,9.44,578827,$5464127,5464127.00,Utilities,B1VVRG3,US26817G3002,Non-Nms Quotation Service (Nnqs)
SSP,E.W. SCRIPPS CO. CL A,Equity,0.0283,45.69,119886,$5477591,5477591.00,Consumer Discretionary,2862532,US8110544025,New York Stock Exchange Inc.
TEG,INTEGRYS ENERGY GROUP INC.,Equity,0.0286,50.73,109245,$5541999,5541999.00,Utilities,2982098,US45822P1057,New York Stock Exchange Inc.
CMS,CMS ENERGY CORP,Equity,0.0288,17.20,323735,$5568242,5568242.00,Utilities,2219224,US1258961002,New York Stock Exchange Inc.
FNP,FIFTH & PACIFIC CO INC,Equity,0.0291,37.30,150716,$5621707,5621707.00,Consumer Discretionary,2519861,US5393201018,New York Stock Exchange Inc.
LEG,LEGGETT & PLATT INC,Equity,0.0291,22.05,255594,$5635848,5635848.00,Consumer Discretionary,2510682,US5246601075,New York Stock Exchange Inc.
JBL,JABIL CIRCUIT INC,Equity,0.0296,22.07,259797,$5733720,5733720.00,Information Technology,2471789,US4663131039,New York Stock Exchange Inc.
PNW,PINNACLE WEST CORP,Equity,0.0299,39.85,145077,$5781318,5781318.00,Utilities,2048804,US7234841010,New York Stock Exchange Inc.
MIL.,MILLIPORE CORP,Equity,0.0303,75.09,78144,$5867833,5867833.00,Health Care,2594437,US6010731098,New York Stock Exchange Inc.
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Equity,0.0305,52.14,113045,$5894166,5894166.00,Materials,2464165,US4595061015,New York Stock Exchange Inc.
DF,DEAN FOODS CO.,Equity,0.0309,31.87,187517,$5976167,5976167.00,Consumer Staples,2858649,US2423701042,New York Stock Exchange Inc.
PTV,PACTIV CORP,Equity,0.0312,31.89,188998,$6027146,6027146.00,Materials,2511328,US6952571056,New York Stock Exchange Inc.
MOLX,MOLEX INC.,Equity,0.0319,30.01,205618,$6170596,6170596.00,Information Technology,2599142,US6085541018,NASDAQ
TAP,MOLSON COORS BREWING CLASS B,Equity,0.0327,92.46,68356,$6320196,6320196.00,Consumer Staples,B067BM3,US60871R2094,New York Stock Exchange Inc.
PBG,PEPSI BOTTLING,Equity,0.0330,33.68,189388,$6378588,6378588.00,Consumer Staples,2404569,US7134091005,New York Stock Exchange Inc.
RSHCQ,RS LEGACY CORP,Equity,0.0336,33.14,196351,$6507072,6507072.00,Consumer Discretionary,2871505,US7504381036,Non-Nms Quotation Service (Nnqs)
MYL,MYLAN INC,Equity,0.0337,18.19,358586,$6522679,6522679.00,Health Care,2613804,US6285301072,NASDAQ
RDC,ROWAN COMPANIES PLC,Equity,0.0337,40.98,159323,$6529057,6529057.00,Energy,2753197,US7793821007,New York Stock Exchange Inc.
LXK,LEXMARK INTERNATIONAL INC.,Equity,0.0349,49.31,137059,$6758379,6758379.00,Information Technology,2511908,US5297711070,New York Stock Exchange Inc.
TLAB,TELLABS INC.,Equity,0.0350,10.76,629909,$6777821,6777821.00,Information Technology,2881537,US8796641004,NASDAQ
STZ,CONSTELLATION BRANDS INC CLASS A,Equity,0.0351,24.28,280007,$6798570,6798570.00,Consumer Staples,2170473,US21036P1084,New York Stock Exchange Inc.
MTG,MGIC INVESTMENT CORP,Equity,0.0351,56.86,119592,$6800001,6800001.00,Financials,2548616,US5528481030,New York Stock Exchange Inc.
PHM,PULTEGROUP INC,Equity,0.0356,22.45,307134,$6895158,6895158.00,Consumer Discretionary,2708841,US7458671010,New York Stock Exchange Inc.
HCR,MANOR CARE INC.,Equity,0.0357,65.29,105682,$6899978,6899978.00,Health Care,2417868,US5640551017,New York Stock Exchange Inc.
CTX,CENTEX CORP.,Equity,0.0358,40.10,172636,$6922704,6922704.00,Consumer Discretionary,2183244,US1523121044,New York Stock Exchange Inc.
FHN,FIRST HORIZON NATIONAL CORP.,Equity,0.0366,39.00,181316,$7071324,7071324.00,Financials,2341484,US3205171057,New York Stock Exchange Inc.
AIV,APARTMENT INVESTMENT & MANAGEMENT,Equity,0.0368,50.42,141141,$7116329,7116329.00,Financials,2057059,US03748R1014,New York Stock Exchange Inc.
MKC,MCCORMICK & CO NON-VOTING INC,Equity,0.0372,38.18,188312,$7189752,7189752.00,Consumer Staples,2550161,US5797802064,New York Stock Exchange Inc.
KG,KING PHARMACEUTICALS,Equity,0.0372,20.46,351904,$7199956,7199956.00,Health Care,2259468,US4955821081,New York Stock Exchange Inc.
SEE,SEALED AIR CORP,Equity,0.0373,31.02,232825,$7222232,7222232.00,Materials,2232793,US81211K1007,New York Stock Exchange Inc.
HAS,HASBRO INC,Equity,0.0376,31.41,231316,$7265636,7265636.00,Consumer Discretionary,2414580,US4180561072,NASDAQ
SWK,STANLEY WORKS,Equity,0.0378,60.70,120603,$7320602,7320602.00,Consumer Discretionary,2840549,US8546161097,New York Stock Exchange Inc.
LEN,LENNAR A CORP,Equity,0.0380,36.56,201246,$7357554,7357554.00,Consumer Discretionary,2511920,US5260571048,New York Stock Exchange Inc.
JNS,JANUS CAPITAL GROUP INC.,Equity,0.0387,27.84,268690,$7480330,7480330.00,Financials,2605555,US47102X1054,New York Stock Exchange Inc.
FDO,FAMILY DOLLAR STORES INC,Equity,0.0387,34.32,217990,$7481417,7481417.00,Consumer Discretionary,2331225,US3070001090,New York Stock Exchange Inc.
PDCO,PATTERSON COMPANIES INC,Equity,0.0388,37.27,201195,$7498538,7498538.00,Health Care,2672689,US7033951036,NASDAQ
FTR,FRONTIER COMMUNICATIONS CORP,Equity,0.0390,15.27,494631,$7553015,7553015.00,Telecommunication Services,2197933,US35906A1088,NASDAQ
CTAS,CINTAS CORP,Equity,0.0399,39.43,195543,$7710260,7710260.00,Industrials,2197137,US1729081059,NASDAQ
IPG,INTERPUBLIC GROUP OF COMPANIES INC,Equity,0.0399,11.40,677594,$7724572,7724572.00,Consumer Discretionary,2466321,US4606901001,New York Stock Exchange Inc.
MWW,MONSTER WORLDWIDE INC.,Equity,0.0401,41.10,188751,$7757666,7757666.00,Industrials,2892045,US6117421072,New York Stock Exchange Inc.
EL,ESTEE LAUDER INC CLASS A,Equity,0.0401,45.51,170473,$7758226,7758226.00,Consumer Staples,2320524,US5184391044,New York Stock Exchange Inc.
HBAN,HUNTINGTON BANCSHARES INC,Equity,0.0402,22.74,341626,$7768575,7768575.00,Financials,2445966,US4461501045,NASDAQ
CTL,CENTURYLINK INC,Equity,0.0402,49.05,158714,$7784922,7784922.00,Telecommunication Services,2185046,US1567001060,New York Stock Exchange Inc.
WFM,WHOLE FOODS MARKET INC,Equity,0.0404,38.30,204254,$7822928,7822928.00,Consumer Staples,2963899,US9668371068,NASDAQ
