Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL,APPLE INC,Equity,3.2731,105.26,21847176,$2299633746,2299633745.76,Information Technology,2046251,US0378331005,NASDAQ
MSFT,MICROSOFT CORP,Equity,2.4717,55.48,31300983,$1736578537,1736578536.84,Information Technology,2588173,US5949181045,NASDAQ
XOM,EXXON MOBIL CORP,Equity,1.8098,77.95,16312657,$1271571613,1271571613.15,Energy,2326618,US30231G1022,New York Stock Exchange Inc.
GE,GENERAL ELECTRIC,Equity,1.6397,31.15,36982708,$1152011354,1152011354.20,Industrials,2380498,US3696041033,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,1.5852,102.72,10842390,$1113730301,1113730300.80,Health Care,2475833,US4781601046,New York Stock Exchange Inc.
AMZN,AMAZON COM INC,Equity,1.4490,675.89,1506228,$1018044443,1018044442.92,Consumer Discretionary,2000019,US0231351067,NASDAQ
WFC,WELLS FARGO,Equity,1.4092,54.36,18213820,$990103255,990103255.20,Financials,2649100,US9497461015,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.3796,132.04,7341157,$969326370,969326370.28,Financials,2073390,US0846707026,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,1.3556,66.03,14424665,$952460630,952460629.95,Financials,2190385,US46625H1005,New York Stock Exchange Inc.
FB,FACEBOOK CLASS A INC,Equity,1.3253,104.66,8896884,$931147879,931147879.44,Information Technology,B7TL820,US30303M1027,NASDAQ
GOOGL,ALPHABET INC CLASS A,Equity,1.2641,778.01,1141580,$888160656,888160655.80,Information Technology,BYVY8G0,US02079K3059,NASDAQ
GOOG,ALPHABET INC CLASS C,Equity,1.2576,758.88,1164330,$883586750,883586750.40,Information Technology,BYY88Y7,US02079K1079,NASDAQ
PG,PROCTER & GAMBLE,Equity,1.2049,79.41,10660684,$846564916,846564916.44,Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
T,AT&T INC,Equity,1.1807,34.41,24106877,$829517638,829517637.57,Telecommunications,2831811,US00206R1023,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,1.1114,32.28,24189174,$780826537,780826536.72,Health Care,2684703,US7170811035,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,1.0489,46.22,15944054,$736934176,736934175.88,Telecommunications,2090571,US92343V1044,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,0.9774,16.83,40801748,$686693419,686693418.84,Financials,2295677,US0605051046,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,0.9443,89.96,7374843,$663440876,663440876.28,Energy,2838555,US1667641005,New York Stock Exchange Inc.
