Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
DDS,DILLARDS INC CLASS A,Equity,0.0110,23.74,80407,$1908862,1908862.00,Consumer Discretionary,2269768,US2540671011,New York Stock Exchange Inc.
CCTYQ,CIRCUIT CITY STORES INC,Equity,0.0115,10.88,182715,$1987939,1987939.00,Consumer Discretionary,2199326,US1727371080,Non-Nms Quotation Service (Nnqs)
THC,TENET HEALTHCARE CORP.,Equity,0.0121,3.39,619415,$2099817,2099817.00,Health Care,2626879,US88033G1004,New York Stock Exchange Inc.
GAS.2,NICOR INC,Equity,0.0142,41.56,59198,$2460269,2460269.00,Utilities,2639509,US6540861076,New York Stock Exchange Inc.
JNY,JONES GROUP INC,Equity,0.0160,19.19,144363,$2770326,2770326.00,Consumer Discretionary,2477152,US48020T1016,New York Stock Exchange Inc.
QLG,QLOGIC,Equity,0.0161,13.30,209370,$2784621,2784621.00,Information Technology,5643808,US7472771010,Boerse Muenchen
MDP,MEREDITH CORP.,Equity,0.0165,55.90,51247,$2864707,2864707.00,Consumer Discretionary,2578516,US5894331017,New York Stock Exchange Inc.
BC,BRUNSWICK CORP,Equity,0.0173,25.15,119127,$2996044,2996044.00,Consumer Discretionary,2149309,US1170431092,New York Stock Exchange Inc.
CVG,CONVERGYS CORP.,Equity,0.0176,16.75,182131,$3050694,3050694.00,Information Technology,2284761,US2124851062,New York Stock Exchange Inc.
TRB,TRIBUNE COMPANY,Equity,0.0177,27.55,110991,$3057802,3057802.00,Consumer Discretionary,2903550,US8960471071,New York Stock Exchange Inc.
KBH,KB HOME,Equity,0.0177,30.34,100865,$3060244,3060244.00,Consumer Discretionary,2485070,US48666K1097,New York Stock Exchange Inc.
HPC,HERCULES INC.,Equity,0.0186,20.82,154651,$3219834,3219834.00,Materials,2422442,US4270561065,New York Stock Exchange Inc.
CPWR,COMPUWARE CORP.,Equity,0.0186,8.11,397374,$3222703,3222703.00,Information Technology,2220884,US2056381096,NASDAQ
MTG,MGIC INVESTMENT CORP,Equity,0.0192,30.16,110272,$3325804,3325804.00,Financials,2548616,US5528481030,New York Stock Exchange Inc.
UIS,UNISYS CORP.,Equity,0.0196,7.37,460780,$3395949,3395949.00,Information Technology,2931595,US9092143067,New York Stock Exchange Inc.
NOVL,NOVELL,Equity,0.0199,7.44,463254,$3446610,3446610.00,Information Technology,2650793,US6700061053,NASDAQ
TEK,TEKTRONIX INC.,Equity,0.0199,32.15,107263,$3448505,3448505.00,Information Technology,2880501,US8791311009,New York Stock Exchange Inc.
OMX,OFFICEMAX INC.,Equity,0.0203,35.52,99190,$3523229,3523229.00,Consumer Discretionary,2109002,US67622P1012,New York Stock Exchange Inc.
TER,TERADYNE INC.,Equity,0.0214,14.89,249218,$3710856,3710856.00,Information Technology,2884183,US8807701029,New York Stock Exchange Inc.
SNA,SNAP-ON INC.,Equity,0.0215,48.98,76156,$3730121,3730121.00,Consumer Discretionary,2818740,US8330341012,New York Stock Exchange Inc.
WEN.2,WENDYS INTERNATIONAL INC.,Equity,0.0219,32.89,115208,$3789191,3789191.00,Consumer Discretionary,2947956,US9505901093,New York Stock Exchange Inc.
AN,AUTONATION INC,Equity,0.0219,18.98,199818,$3792546,3792546.00,Consumer Discretionary,2732635,US05329W1027,New York Stock Exchange Inc.
WPI,WATSON PHARMACEUTICALS,Equity,0.0232,29.82,134860,$4021525,4021525.00,Health Care,2943545,US9426831031,New York Stock Exchange Inc.
UNS1,VIAVI SOLUTIONS INC,Equity,0.0234,14.56,277917,$4046472,4046472.00,Information Technology,B1G2LW5,US46612J5074,Boerse Stuttgart
FII,FEDERATED INVESTORS INC.,Equity,0.0236,35.11,116384,$4086242,4086242.00,Financials,2246288,US3142111034,New York Stock Exchange Inc.
BMS,BEMIS INC,Equity,0.0237,29.87,137583,$4109604,4109604.00,Materials,2090173,US0814371052,New York Stock Exchange Inc.
NYT,NEW YORK TIMES CO. CL A,Equity,0.0241,21.98,189526,$4165781,4165781.00,Consumer Discretionary,2632003,US6501111073,New York Stock Exchange Inc.
RSHCQ,RS LEGACY CORP,Equity,0.0245,23.77,178795,$4249957,4249957.00,Consumer Discretionary,2871505,US7504381036,Non-Nms Quotation Service (Nnqs)
CIEN,CIENA CORP,Equity,0.0246,37.88,112667,$4267826,4267826.00,Information Technology,B1FLZ21,US1717793095,New York Stock Exchange Inc.
DYNIQ,DYNEGY INC.,Equity,0.0249,8.09,532592,$4308669,4308669.00,Utilities,B1VVRG3,US26817G3002,Non-Nms Quotation Service (Nnqs)
AW,ALLIED WASTE INDUSTRIES INC.,Equity,0.0249,12.77,337523,$4310169,4310169.00,Industrials,2039831,US0195893088,New York Stock Exchange Inc.
BIG,BIG LOTS INC.,Equity,0.0250,29.77,145203,$4322693,4322693.00,Consumer Discretionary,2218447,US0893021032,New York Stock Exchange Inc.
