Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
GHC,GRAHAM HOLDINGS COMPANY CO CLASS B,Equity,0.0196,433.09,12863,$5570837,-,Consumer Discretionary,2942003,US9396401088,New York Stock Exchange Inc.
AZO,AUTOZONE INC,Equity,0.0579,257.95,63794,$16455662,-,Consumer Discretionary,2065955,US0533321024,New York Stock Exchange Inc.
ISRG,INTUITIVE SURGICAL INC,Equity,0.1064,327.95,92153,$30221576,-,Health Care,2871301,US46120E6023,NASDAQ
NFLX,NETFLIX INC,Equity,0.0741,206.67,101900,$21059673,-,Consumer Discretionary,2857817,US64110L1061,NASDAQ
SHLD,SEARS HOLDINGS CORP,Equity,0.0302,83.31,103078,$8587428,-,Consumer Discretionary,2634805,US8123501061,NASDAQ
GAS.2,NICOR INC,Equity,0.0199,52.74,107156,$5651407,-,Utilities,2639509,US6540861076,New York Stock Exchange Inc.
PCLN,PRICELINE GROUP INC/THE,Equity,0.1840,453.88,115170,$52273360,-,Consumer Discretionary,2779063,US7415034039,NASDAQ
DNB,DUN & BRADSTREET CORP,Equity,0.0332,80.80,116646,$9424997,-,Industrials,2636254,US26483E1001,New York Stock Exchange Inc.
R,RYDER SYSTEM INC,Equity,0.0204,47.83,121151,$5794652,-,Industrials,2760669,US7835491082,New York Stock Exchange Inc.
FSLR,FIRST SOLAR INC,Equity,0.0658,147.39,126876,$18700254,-,Information Technology,B1HMF22,US3364331070,NASDAQ
FLS,FLOWSERVE CORP,Equity,0.0576,124.97,130889,$16357198,-,Industrials,2288406,US34354P1057,New York Stock Exchange Inc.
GWW,WW GRAINGER INC,Equity,0.0637,133.21,135958,$18110965,-,Industrials,2380863,US3848021040,New York Stock Exchange Inc.
SNA,SNAP-ON INC.,Equity,0.0277,57.43,136889,$7861535,-,Industrials,2818740,US8330341012,New York Stock Exchange Inc.
DV,DEVRY EDUCATION GROUP INC,Equity,0.0279,54.25,146048,$7923104,-,Consumer Discretionary,2267609,US2518931033,New York Stock Exchange Inc.
AN,AUTONATION INC,Equity,0.0177,33.64,149776,$5038465,-,Consumer Discretionary,2732635,US05329W1027,New York Stock Exchange Inc.
RL,POLO RALPH LAUREN CORP.,Equity,0.0676,126.71,151567,$19205055,-,Consumer Discretionary,2018409,US7315721032,New York Stock Exchange Inc.
MX4A,CME GROUP INC CLASS A,Equity,0.1722,311.28,157217,$48938508,-,Financials,B012KV5,US12572Q1058,Boerse Berlin
HAR,HARMAN INTERNATIONAL INDUSTRIES IN,Equity,0.0279,48.64,163015,$7929050,-,Consumer Discretionary,2411138,US4130861093,New York Stock Exchange Inc.
DO,DIAMOND OFFSHORE DRILLING INC,Equity,0.0449,78.23,163215,$12768309,-,Energy,2261021,US25271C1027,New York Stock Exchange Inc.
CF,CF INDUSTRIES HOLDINGS INC,Equity,0.0830,141.28,167021,$23596727,-,Materials,B0G4K50,US1252691001,New York Stock Exchange Inc.
CERN,CERNER CORP,Equity,0.0592,100.45,167436,$16818946,-,Health Care,2185284,US1567821046,NASDAQ
EMN,EASTMAN CHEMICAL,Equity,0.0556,93.41,169086,$15794323,-,Materials,2298386,US2774321002,New York Stock Exchange Inc.
FMC,FMC CORP,Equity,0.0463,77.44,169883,$13155740,-,Materials,2328603,US3024913036,New York Stock Exchange Inc.
ICE,INTERCONTINENTALEXCHANGE INC.,Equity,0.0775,128.20,171781,$22022324,-,Financials,B0PBS81,US45865V1008,New York Stock Exchange Inc.
ARG,AIRGAS INC,Equity,0.0386,62.58,175279,$10968960,-,Materials,2011561,US0093631028,New York Stock Exchange Inc.
CEPH,CEPHALON INC,Equity,0.0349,56.31,176205,$9922104,-,Health Care,2185143,US1567081096,NASDAQ
WYNN,WYNN RESORTS LTD,Equity,0.0767,122.93,177254,$21789834,-,Consumer Discretionary,2963811,US9831341071,NASDAQ
BIG,BIG LOTS INC.,Equity,0.0257,41.03,177704,$7291195,-,Consumer Discretionary,2218447,US0893021032,New York Stock Exchange Inc.
WHR,WHIRLPOOL CORP,Equity,0.0517,82.50,178176,$14699520,-,Consumer Discretionary,2960384,US9633201069,New York Stock Exchange Inc.
TEG,INTEGRYS ENERGY GROUP INC.,Equity,0.0313,48.97,181720,$8898828,-,Utilities,2982098,US45822P1057,New York Stock Exchange Inc.
