Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL,APPLE INC,Equity,3.1221,590.09,2986804,$1762483172,-,Information Technology,2046251,US0378331005,NASDAQ
XOM,EXXON MOBIL CORP,Equity,2.6251,102.41,14470055,$1481878333,-,Energy,2326618,US30231G1022,New York Stock Exchange Inc.
MSFT,MICROSOFT CORP,Equity,1.8102,40.40,25293870,$1021872348,-,Information Technology,2588173,US5949181045,NASDAQ
JNJ,JOHNSON & JOHNSON,Equity,1.6997,101.29,9472815,$959501431,-,Health Care,2475833,US4781601046,New York Stock Exchange Inc.
GE,GENERAL ELECTRIC,Equity,1.6003,26.89,33596700,$903415263,-,Industrials,2380498,US3696041033,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,1.4215,125.52,6392873,$802433419,-,Energy,2838555,US1667641005,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,1.4099,49.64,16033871,$795921356,-,Financials,2649100,US9497461015,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.3759,128.85,6028110,$776721974,-,Financials,2073390,US0846707026,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.3277,82.55,9079375,$749502406,-,Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,1.2575,55.98,12680392,$709848344,-,Financials,2190385,US46625H1005,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,1.1843,31.28,21373605,$668566364,-,Health Care,2684703,US7170811035,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,1.1479,46.73,13866820,$647996499,-,Telecommunication Services,2090571,US92343V1044,New York Stock Exchange Inc.
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,1.1408,196.47,3277750,$643979543,-,Information Technology,2005973,US4592001014,New York Stock Exchange Inc.
T,AT&T INC,Equity,1.1026,35.70,17435437,$622445101,-,Telecommunication Services,2831811,US00206R1023,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,1.0215,58.56,9846984,$576639383,-,Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,0.9491,15.14,35388317,$535779119,-,Financials,2295677,US0605051046,New York Stock Exchange Inc.
KO,COCA-COLA,Equity,0.9168,40.79,12688101,$517547640,-,Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
GOOGL,GOOGLE INC CLASS A,Equity,0.8957,534.88,945291,$505617250,-,Information Technology,B020QX2,US38259P5089,NASDAQ
GGQ7,GOOGLE INC CLASS C,Equity,0.8819,526.66,945291,$497846958,-,Information Technology,BL25KV0,US38259P7069,Deutsche Boerse Ag
C,CITIGROUP INC,Equity,0.8629,47.91,10167937,$487145862,-,Financials,2297907,US1729674242,New York Stock Exchange Inc.
ORCL,ORACLE CORP,Equity,0.8397,40.88,11596068,$474047260,-,Information Technology,2661568,US68389X1054,New York Stock Exchange Inc.
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.8033,85.43,5308170,$453476963,-,Consumer Staples,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
CMCSA,COMCAST A CORP,Equity,0.8003,51.76,8728250,$451774220,-,Consumer Discretionary,2044545,US20030N1019,NASDAQ
QCOM,QUALCOMM INC,Equity,0.7895,78.71,5662611,$445704112,-,Information Technology,2714923,US7475251036,NASDAQ
SLB,SCHLUMBERGER NV,Equity,0.7875,101.55,4377754,$444560919,-,Energy,2779201,AN8068571086,New York Stock Exchange Inc.
INCO,INTEL CORPORATION CORP,Equity,0.7872,26.69,16649035,$444362744,-,Information Technology,5923652,US4581401001,Nyse Euronext - Euronext Amsterdam
PEP,PEPSICO INC,Equity,0.7757,85.89,5098191,$437883625,-,Consumer Staples,2681511,US7134481081,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,0.7669,79.34,5456282,$432901414,-,Consumer Discretionary,2270726,US2546871060,New York Stock Exchange Inc.
WMT,WALMART STORES INC,Equity,0.7650,79.71,5417558,$431833548,-,Consumer Staples,2961280,US9311421039,Bolsa De Valores De Lima
GILD,GILEAD SCIENCES INC,Equity,0.7162,78.49,5151093,$404309290,-,Health Care,2369174,US3755581036,NASDAQ
CSCO,CISCO SYSTEMS INC,Equity,0.7062,23.11,17249439,$398634535,-,Information Technology,2198163,US17275R1023,NASDAQ
AMZN,AMAZON COM INC,Equity,0.6711,304.13,1245672,$378846225,-,Consumer Discretionary,2000019,US0231351067,NASDAQ
HD,HOME DEPOT INC,Equity,0.6642,79.51,4715441,$374924714,-,Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
V,VISA INC CLASS A,Equity,0.6092,202.61,1697406,$343911430,-,Information Technology,B2PZN04,US92826C8394,New York Stock Exchange Inc.
FB,FACEBOOK CLASS A INC,Equity,0.6058,59.78,5720454,$341968740,-,Information Technology,B7TL820,US30303M1027,NASDAQ
MCD,MCDONALDS CORP,Equity,0.5953,101.38,3314608,$336034959,-,Consumer Discretionary,2550707,US5801351017,New York Stock Exchange Inc.
UTX,UNITED TECHNOLOGIES CORP,Equity,0.5910,118.33,2819508,$333632382,-,Industrials,2915500,US9130171096,New York Stock Exchange Inc.
COP,CONOCOPHILLIPS,Equity,0.5405,74.31,4105705,$305094939,-,Energy,2685717,US20825C1045,New York Stock Exchange Inc.
BA,BOEING,Equity,0.5234,129.02,2290116,$295470766,-,Industrials,2108601,US0970231058,New York Stock Exchange Inc.
MMM,3M CO,Equity,0.5194,139.09,2108170,$293225365,-,Industrials,2595708,US88579Y1010,New York Stock Exchange Inc.
UNP,UNION PACIFIC CORP,Equity,0.5141,190.43,1523871,$290190755,-,Industrials,2914734,US9078181081,New York Stock Exchange Inc.
CVS,CVS HEALTH CORP,Equity,0.5101,72.72,3959574,$287940221,-,Consumer Staples,2577609,US1266501006,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,0.5005,111.75,2528125,$282517969,-,Health Care,2023607,US0311621009,NASDAQ
ABBV,ABBVIE INC,Equity,0.4907,52.08,5319349,$277031696,-,-,B92SR70,US00287Y1091,New York Stock Exchange Inc.
BMY,BRISTOL MYERS SQUIBB,Equity,0.4885,50.09,5505229,$275756921,-,Health Care,2126335,US1101221083,New York Stock Exchange Inc.
MO,ALTRIA GROUP INC,Equity,0.4742,40.11,6673244,$267663817,-,Consumer Staples,2692632,US02209S1033,New York Stock Exchange Inc.
AXP,AMERICAN EXPRESS,Equity,0.4739,87.43,3060064,$267541396,-,Financials,2026082,US0258161092,New York Stock Exchange Inc.
AIG,AMERICAN INTERNATIONAL GROUP INC,Equity,0.4614,53.13,4902609,$260475616,-,Financials,2027342,US0268747849,New York Stock Exchange Inc.
OXY,OCCIDENTAL PETROLEUM CORP,Equity,0.4514,95.75,2661363,$254825507,-,Energy,2655408,US6745991058,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,0.4452,73.55,3417121,$251329250,-,Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
USB,US BANCORP,Equity,0.4409,40.78,6102888,$248875773,-,Financials,2736035,US9029733048,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,0.4403,75.04,3312411,$248563321,-,Health Care,2917766,US91324P1021,New York Stock Exchange Inc.
HON,HONEYWELL INTERNATIONAL INC,Equity,0.4321,92.90,2625806,$243937377,-,Industrials,2020459,US4385161066,New York Stock Exchange Inc.
UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.4152,98.50,2379544,$234385084,-,Industrials,2517382,US9113121068,New York Stock Exchange Inc.
BIIB,BIOGEN INC,Equity,0.4026,287.12,791615,$227288499,-,Health Care,2455965,US09062X1037,NASDAQ
GS,GOLDMAN SACHS GROUP INC,Equity,0.3992,159.82,1410034,$225351634,-,Financials,2407966,US38141G1040,New York Stock Exchange Inc.
CAT,CATERPILLAR INC.,Equity,0.3988,105.40,2135694,$225102148,-,Industrials,4516310,US1491231015,Swiss Exchange
F,F MOTOR,Equity,0.3778,16.15,13206375,$213282956,-,Consumer Discretionary,2615468,US3453708600,New York Stock Exchange Inc.
HPQ,HEWLETT PACKARD,Equity,0.3716,33.06,6345970,$209797768,-,Information Technology,2424006,US4282361033,New York Stock Exchange Inc.
DD,E I DU PONT DE NEMOURS,Equity,0.3702,67.32,3104283,$208980332,-,Materials,2018175,US2635341090,New York Stock Exchange Inc.
FOXA,TWENTY FIRST CENTURY FOX INC CLASS,Equity,0.3686,32.02,6499051,$208099613,-,Consumer Discretionary,BBM4S68,US90130A1016,NASDAQ
DOW,DOW CHEMICAL,Equity,0.3599,49.90,4071243,$203155026,-,Materials,2278719,US2605431038,New York Stock Exchange Inc.
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Equity,0.3597,35.65,5695877,$203058015,-,-,B8CKK03,US6092071058,NASDAQ
