Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
FSLR,FIRST SOLAR INC,Equity,0.0072,15.06,141506,$2131080,-,Information Technology,B1HMF22,US3364331070,NASDAQ
TIE,TITANIUM METALS CORP.,Equity,0.0076,11.31,198086,$2240353,-,Materials,2340931,US8883392073,New York Stock Exchange Inc.
AN,AUTONATION INC,Equity,0.0118,35.28,99202,$3499847,-,Consumer Discretionary,2732635,US05329W1027,New York Stock Exchange Inc.
PCS,METROPCS COMMUNICATIONS INC.,Equity,0.0145,6.05,706323,$4273254,-,Telecommunication Services,B02F228,US5917081029,New York Stock Exchange Inc.
GHC,GRAHAM HOLDINGS COMPANY CO CLASS B,Equity,0.0146,373.82,11580,$4328836,-,Consumer Discretionary,2942003,US9396401088,New York Stock Exchange Inc.
DV,DEVRY EDUCATION GROUP INC,Equity,0.0147,30.97,140780,$4359957,-,Consumer Discretionary,2267609,US2518931033,New York Stock Exchange Inc.
R,RYDER SYSTEM INC,Equity,0.0150,36.01,123044,$4430814,-,Industrials,2760669,US7835491082,New York Stock Exchange Inc.
LXK,LEXMARK INTERNATIONAL INC.,Equity,0.0153,26.58,170367,$4528355,-,Information Technology,2511908,US5297711070,New York Stock Exchange Inc.
ANRZQ,ALPHA NATURAL RESOURCES INC,Equity,0.0156,8.71,529235,$4609637,-,Energy,B066NX5,US02076X1028,Non-Nms Quotation Service (Nnqs)
FII,FEDERATED INVESTORS INC.,Equity,0.0164,21.85,222091,$4852688,-,Financials,2246288,US3142111034,New York Stock Exchange Inc.
ETFC,E*TRADE FINANCIAL CORP.,Equity,0.0166,8.04,610812,$4910928,-,Financials,2299011,US2692464017,NASDAQ
RRD,RR DONNELLEY AND SONS,Equity,0.0174,11.77,436620,$5139017,-,Industrials,2276605,US2578671016,New York Stock Exchange Inc.
FHN,FIRST HORIZON NATIONAL CORP.,Equity,0.0177,8.65,604547,$5229332,-,Financials,2341484,US3205171057,New York Stock Exchange Inc.
THC,TENET HEALTHCARE CORP.,Equity,0.0178,5.24,1002379,$5252466,-,Health Care,2626879,US88033G1004,New York Stock Exchange Inc.
SHLD,SEARS HOLDINGS CORP,Equity,0.0186,59.70,92026,$5493952,-,Consumer Discretionary,2634805,US8123501061,NASDAQ
GME,GAMESTOP CORP CLASS A,Equity,0.0192,18.36,309607,$5684385,-,Consumer Discretionary,B0LLFT5,US36467W1099,New York Stock Exchange Inc.
UNS1,VIAVI SOLUTIONS INC,Equity,0.0205,11.00,550304,$6053344,-,Information Technology,B1G2LW5,US46612J5074,Boerse Stuttgart
