Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL*,APPLE INC,Equity,4.3098,585.28,2403666,$1406817636,-,Information Technology,B011001,US0378331005,Bolsa Mexicana De Valores (Mexican Stock Exchange)
XOM,EXXON MOBIL CORP,Equity,3.1959,88.14,11835993,$1043224423,-,Energy,2326618,US30231G1022,New York Stock Exchange Inc.
GEC,GENERAL ELECTRIC CO.,Equity,1.7526,21.13,27074514,$572084481,-,Industrials,5254471,US3696041033,Deutsche Boerse Ag
CVX,CHEVRON CORP,Equity,1.6290,105.69,5031233,$531751016,-,Energy,2838555,US1667641005,New York Stock Exchange Inc.
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,1.6039,190.07,2754435,$523535460,-,Information Technology,2005973,US4592001014,New York Stock Exchange Inc.
MSFT,MICROSOFT CORP,Equity,1.5777,26.62,19346707,$515009340,-,Information Technology,2588173,US5949181045,NASDAQ
T,AT&T INC,Equity,1.5467,34.13,14792611,$504871813,-,Telecommunication Services,2831811,US00206R1023,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.5108,69.83,7062390,$493166694,-,Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,1.5102,69.73,7069490,$492955538,-,Health Care,2475833,US4781601046,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,1.4681,25.02,19152908,$479205758,-,Health Care,2684703,US7170811035,New York Stock Exchange Inc.
GOOGL,GOOGLE INC CLASS A,Equity,1.4532,698.37,679211,$474340586,-,Information Technology,B84V7F8,US38259P5089,Spot Regulated Market - Bvb
WFC*,WELLS FARGO CO,Equity,1.2738,33.01,12596242,$415801948,-,Financials,B045BZ2,US9497461015,Bolsa Mexicana De Valores (Mexican Stock Exchange)
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.2688,88.08,4702232,$414172595,-,Financials,2073390,US0846707026,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE,Equity,1.2259,41.08,9740606,$400144094,-,Financials,0190031,US46625H1005,London Stock Exchange
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,1.1902,89.88,4322452,$388501986,-,Consumer Staples,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
KO,COCA-COLA,Equity,1.1533,37.92,9927510,$376451179,-,Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,1.0599,44.30,7809466,$345959344,-,Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,0.9874,44.12,7304963,$322294968,-,Telecommunication Services,2090571,US92343V1044,New York Stock Exchange Inc.
ORCL,ORACLE CORP,Equity,0.9603,32.10,9765213,$313463337,-,Information Technology,2661568,US68389X1054,New York Stock Exchange Inc.
WMT,WALMART STORES INC,Equity,0.9509,72.02,4309626,$310379265,-,Consumer Staples,2961280,US9311421039,Bolsa De Valores De Lima
PEP,PEPSICO INC,Equity,0.8583,70.21,3990523,$280174620,-,Consumer Staples,2681511,US7134481081,New York Stock Exchange Inc.
QCI,QUALCOMM,Equity,0.8513,63.62,4367653,$277870084,-,Information Technology,5382468,US7475251036,Deutsche Boerse Ag
BAC,BANK OF AMERICA CORP,Equity,0.8347,9.86,27633756,$272468834,-,Financials,BHZL9B0,US0605051046,Swiss Exchange
ABT,ABBOTT LABORATORIES,Equity,0.8013,65.00,4024021,$261561365,-,Health Care,2002305,US0028241000,New York Stock Exchange Inc.
C,CITIGROUP INC,Equity,0.7963,34.57,7519340,$259943584,-,Financials,2297907,US1729674242,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,0.7858,18.91,13564545,$256505546,-,Information Technology,2198163,US17275R1023,NASDAQ
CMCSA,COMCAST A CORP,Equity,0.7815,37.18,6861232,$255100606,-,Consumer Discretionary,2044545,US20030N1019,NASDAQ
HD,HOME DEPOT INC,Equity,0.7705,65.07,3865312,$251515852,-,Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
INCO,INTEL CORPORATION CORP,Equity,0.7691,19.57,12828473,$251053217,-,Information Technology,5923652,US4581401001,Nyse Euronext - Euronext Amsterdam
SLBA,SCHLUMBERGER LTD.,Equity,0.7466,71.62,3402706,$243701804,-,Energy,4779232,AN8068571086,Nyse Euronext - Euronext Amsterdam
AMZN,AMAZON COM INC,Equity,0.7161,252.05,927339,$233735795,-,Consumer Discretionary,2000019,US0231351067,NASDAQ
DIS,WALT DISNEY,Equity,0.6999,49.66,4600799,$228475678,-,Consumer Discretionary,2270726,US2546871060,New York Stock Exchange Inc.
MCD,MCDONALDS CORP,Equity,0.6895,87.04,2585767,$225065160,-,Consumer Discretionary,2550707,US5801351017,New York Stock Exchange Inc.
VISA,VISA INC,Equity,0.6147,149.71,1340216,$200643737,-,Information Technology,B73HHS3,US92826C8394,Spot Regulated Market - Bvb
COP,CONOCOPHILLIPS,Equity,0.5432,56.94,3114293,$177327843,-,Energy,2685717,US20825C1045,New York Stock Exchange Inc.
MO,ALTRIA GROUP INC,Equity,0.5399,33.81,5212507,$176234862,-,Consumer Staples,2692632,US02209S1033,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,0.5377,88.80,1976370,$175501656,-,Health Care,2023607,US0311621009,NASDAQ
UTX,UNITED TECHNOLOGIES CORP,Equity,0.5279,80.11,2150921,$172310281,-,Industrials,2915500,US9130171096,New York Stock Exchange Inc.
EBAY,EBAY INC,Equity,0.4812,52.82,2973911,$157081979,-,Information Technology,2293819,US2786421030,NASDAQ
USB,US BANCORP,Equity,0.4803,32.26,4859826,$156777987,-,Financials,2736035,US9029733048,New York Stock Exchange Inc.
OXY,OCCIDENTAL PETROLEUM CORP,Equity,0.4785,75.21,2076829,$156198309,-,Energy,2655408,US6745991058,New York Stock Exchange Inc.
CVS,CVS HEALTH CORP,Equity,0.4648,46.51,3262206,$151725201,-,Consumer Staples,2577609,US1266501006,New York Stock Exchange Inc.
UNP,UNION PACIFIC CORP,Equity,0.4568,122.78,1214369,$149100226,-,Industrials,2914734,US9078181081,New York Stock Exchange Inc.
MMM,3M CO,Equity,0.4544,90.95,1630845,$148325353,-,Industrials,2595708,US88579Y1010,New York Stock Exchange Inc.
GILD,GILEAD SCIENCES INC,Equity,0.4457,75.00,1939957,$145496775,-,Health Care,2369174,US3755581036,NASDAQ
UNH,UNITEDHEALTH GROUP INC,Equity,0.4412,54.39,2648017,$144025645,-,Health Care,2917766,US91324P1021,New York Stock Exchange Inc.
