Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
GHC,GRAHAM HOLDINGS COMPANY CO CLASS B,Equity,0.0157,358.91,11292,$4052812,-,Consumer Discretionary,2942003,US9396401088,New York Stock Exchange Inc.
AZO,AUTOZONE INC,Equity,0.0838,328.38,65717,$21580148,-,Consumer Discretionary,2065955,US0533321024,New York Stock Exchange Inc.
CMG,CHIPOTLE MEXICAN GRILL INC,Equity,0.0885,321.56,70838,$22778667,-,Consumer Discretionary,B0X7DZ3,US1696561059,New York Stock Exchange Inc.
SHLD,SEARS HOLDINGS CORP,Equity,0.0204,60.33,87198,$5260655,-,Consumer Discretionary,2634805,US8123501061,NASDAQ
ISRG,INTUITIVE SURGICAL INC,Equity,0.1491,434.21,88399,$38383730,-,Health Care,2871301,US46120E6023,NASDAQ
GAS.2,NICOR INC,Equity,0.0224,56.12,102812,$5769809,-,Utilities,2639509,US6540861076,New York Stock Exchange Inc.
DNB,DUN & BRADSTREET CORP,Equity,0.0302,69.87,111444,$7786592,-,Industrials,2636254,US26483E1001,New York Stock Exchange Inc.
AN,AUTONATION INC,Equity,0.0157,36.11,112142,$4049448,-,Consumer Discretionary,2732635,US05329W1027,New York Stock Exchange Inc.
PCLN,PRICELINE GROUP INC/THE,Equity,0.2120,485.89,112370,$54599459,-,Consumer Discretionary,2779063,US7415034039,NASDAQ
R,RYDER SYSTEM INC,Equity,0.0236,52.28,116048,$6066989,-,Industrials,2760669,US7835491082,New York Stock Exchange Inc.
NFLX,NETFLIX INC,Equity,0.0314,64.53,125208,$8079672,-,Consumer Discretionary,2857817,US64110L1061,NASDAQ
FLS,FLOWSERVE CORP,Equity,0.0503,102.77,126077,$12956933,-,Industrials,2288406,US34354P1057,New York Stock Exchange Inc.
SNA,SNAP-ON INC.,Equity,0.0263,51.30,131836,$6763187,-,Industrials,2818740,US8330341012,New York Stock Exchange Inc.
FSLR,FIRST SOLAR INC,Equity,0.0246,47.86,132299,$6331830,-,Information Technology,B1HMF22,US3364331070,NASDAQ
GWW,WW GRAINGER INC,Equity,0.0997,186.90,137391,$25678378,-,Industrials,2380863,US3848021040,New York Stock Exchange Inc.
DV,DEVRY EDUCATION GROUP INC,Equity,0.0187,34.51,139604,$4817734,-,Consumer Discretionary,2267609,US2518931033,New York Stock Exchange Inc.
RL,RALPH LAUREN CORPORATION,Equity,0.0807,141.86,146475,$20778944,-,Consumer Discretionary,B4V9661,US7512121010,New York Stock Exchange Inc.
CF,CF INDUSTRIES HOLDINGS INC,Equity,0.0803,139.80,147838,$20667752,-,Materials,B0G4K50,US1252691001,New York Stock Exchange Inc.
BIG,BIG LOTS INC.,Equity,0.0231,40.11,148494,$5956094,-,Consumer Discretionary,2218447,US0893021032,New York Stock Exchange Inc.
MX4A,CME GROUP INC CLASS A,Equity,0.1464,249.28,151243,$37701855,-,Financials,B012KV5,US12572Q1058,Boerse Berlin
ARG,AIRGAS INC,Equity,0.0460,76.95,153907,$11843144,-,Materials,2011561,US0093631028,New York Stock Exchange Inc.
DO,DIAMOND OFFSHORE DRILLING INC,Equity,0.0368,60.15,157467,$9471640,-,Energy,2261021,US25271C1027,New York Stock Exchange Inc.
NVLS,NOVELLUS SYSTEMS INC.,Equity,0.0212,34.62,157944,$5468021,-,Information Technology,2650748,US6700081010,NASDAQ
HAR,HARMAN INTERNATIONAL INDUSTRIES IN,Equity,0.0253,41.30,157955,$6523542,-,Consumer Discretionary,2411138,US4130861093,New York Stock Exchange Inc.
FMC,FMC CORP,Equity,0.0528,83.92,161981,$13593446,-,Materials,2328603,US3024913036,New York Stock Exchange Inc.
LXK,LEXMARK INTERNATIONAL INC.,Equity,0.0211,33.46,162324,$5431361,-,Information Technology,2511908,US5297711070,New York Stock Exchange Inc.
ICE,INTERCONTINENTALEXCHANGE INC.,Equity,0.0785,121.72,166011,$20206859,-,Financials,B0PBS81,US45865V1008,New York Stock Exchange Inc.
WHR,WHIRLPOOL CORP,Equity,0.0330,49.06,173124,$8493463,-,Consumer Discretionary,2960384,US9633201069,New York Stock Exchange Inc.
