Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL*,APPLE INC,Equity,3.1350,556.07,2906747,$1616354804,-,Information Technology,B011001,US0378331005,Bolsa Mexicana De Valores (Mexican Stock Exchange)
XOM,EXXON MOBIL CORP,Equity,2.5533,93.48,14083029,$1316481551,-,Energy,2326618,US30231G1022,New York Stock Exchange Inc.
GOOGL,GOOGLE INC CLASS A,Equity,1.8393,1059.59,895015,$948348944,-,Information Technology,B84V7F8,US38259P5089,Spot Regulated Market - Bvb
MSFT,MICROSOFT CORP,Equity,1.7936,38.13,24253077,$924769826,-,Information Technology,2588173,US5949181045,NASDAQ
GEC,GENERAL ELECTRIC CO.,Equity,1.6848,26.66,32583028,$868663526,-,Industrials,5254471,US3696041033,Deutsche Boerse Ag
JNJ,JOHNSON & JOHNSON,Equity,1.6554,94.66,9016442,$853496400,-,Health Care,2475833,US4781601046,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,1.4680,122.44,6181522,$756865554,-,Energy,2838555,US1667641005,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.4314,84.22,8762664,$737991562,-,Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE,Equity,1.3366,57.22,12043534,$689131015,-,Financials,0190031,US46625H1005,London Stock Exchange
WFC*,WELLS FARGO CO,Equity,1.3199,44.02,15459674,$680534849,-,Financials,B045BZ2,US9497461015,Bolsa Mexicana De Valores (Mexican Stock Exchange)
PFE,PFIZER INC,Equity,1.3035,31.73,21181661,$672094104,-,Health Care,2684703,US7170811035,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.3016,116.53,5758867,$671080772,-,Financials,2073390,US0846707026,New York Stock Exchange Inc.
T,AT&T INC,Equity,1.1604,35.21,16992536,$598307193,-,Telecommunication Services,2831811,US00206R1023,New York Stock Exchange Inc.
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,1.1481,179.68,3294529,$591960971,-,Information Technology,2005973,US4592001014,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,1.0547,15.82,34372622,$543774880,-,Financials,BHZL9B0,US0605051046,Swiss Exchange
C,CITIGROUP INC,Equity,0.9987,52.92,9729756,$514898688,-,Financials,2297907,US1729674242,New York Stock Exchange Inc.
KO,COCA-COLA,Equity,0.9508,40.19,12198116,$490242282,-,Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,0.9049,49.83,9362943,$466555450,-,Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
AMZN,AMAZON COM INC,Equity,0.9039,393.62,1184050,$466065761,-,Consumer Discretionary,2000019,US0231351067,NASDAQ
VZ,VERIZON COMMUNICATIONS INC,Equity,0.8811,49.62,9155817,$454311640,-,Telecommunication Services,2090571,US92343V1044,New York Stock Exchange Inc.
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.8592,85.54,5178531,$442971542,-,Consumer Staples,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
WMT,WALMART STORES INC,Equity,0.8183,81.01,5207908,$421892627,-,Consumer Staples,2961280,US9311421039,Bolsa De Valores De Lima
CMCSA,COMCAST A CORP,Equity,0.8094,49.87,8368166,$417320438,-,Consumer Discretionary,2044545,US20030N1019,NASDAQ
PEP,PEPSICO INC,Equity,0.8083,84.46,4934296,$416750640,-,Consumer Staples,2681511,US7134481081,New York Stock Exchange Inc.
QCI,QUALCOMM,Equity,0.7833,73.58,5488495,$403843462,-,Information Technology,5382468,US7475251036,Deutsche Boerse Ag
ORCL,ORACLE CORP,Equity,0.7809,35.29,11408487,$402605506,-,Information Technology,2661568,US68389X1054,New York Stock Exchange Inc.
INCO,INTEL CORPORATION CORP,Equity,0.7370,23.84,15939894,$380007073,-,Information Technology,5923652,US4581401001,Nyse Euronext - Euronext Amsterdam
DIS,WALT DISNEY,Equity,0.7273,70.54,5315611,$374963200,-,Consumer Discretionary,2270726,US2546871060,New York Stock Exchange Inc.
SLBA,SCHLUMBERGER LTD.,Equity,0.7260,88.42,4233523,$374328104,-,Energy,4779232,AN8068571086,Nyse Euronext - Euronext Amsterdam
HD,HOME DEPOT INC,Equity,0.7171,80.67,4583084,$369717386,-,Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
GILD,GILEAD SCIENCES INC,Equity,0.7106,74.81,4897237,$366362300,-,Health Care,2369174,US3755581036,NASDAQ
CSCO,CISCO SYSTEMS INC,Equity,0.7070,21.25,17154240,$364527600,-,Information Technology,2198163,US17275R1023,NASDAQ
VISA,VISA INC,Equity,0.6517,203.46,1651581,$336030670,-,Information Technology,B73HHS3,US92826C8394,Spot Regulated Market - Bvb
MCD,MCDONALDS CORP,Equity,0.6040,97.37,3198363,$311424605,-,Consumer Discretionary,2550707,US5801351017,New York Stock Exchange Inc.
UTX,UNITED TECHNOLOGIES CORP,Equity,0.5807,110.86,2700707,$299400378,-,Industrials,2915500,US9130171096,New York Stock Exchange Inc.
BA,BOEING,Equity,0.5782,134.25,2220736,$298133808,-,Industrials,2108601,US0970231058,New York Stock Exchange Inc.
COP,CONOCOPHILLIPS,Equity,0.5525,72.80,3912981,$284865017,-,Energy,2685717,US20825C1045,New York Stock Exchange Inc.
MMM,3M CO,Equity,0.5379,133.51,2077405,$277354342,-,Industrials,2595708,US88579Y1010,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,0.5333,114.08,2410360,$274973869,-,Health Care,2023607,US0311621009,NASDAQ
BMY,BRISTOL MYERS SQUIBB,Equity,0.5249,51.38,5267394,$270638704,-,Health Care,2126335,US1101221083,New York Stock Exchange Inc.
CVS,CVS HEALTH CORP,Equity,0.5104,66.96,3930135,$263161840,-,Consumer Staples,2577609,US1266501006,New York Stock Exchange Inc.
AEC1,AMERICAN EXPRESS ORD,Equity,0.4940,85.80,2968560,$254702448,-,Financials,4028440,US0258161092,Boerse Berlin
MA,MASTERCARD INC CLASS A,Equity,0.4898,760.81,331905,$252516643,-,Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
ABBV,ABBVIE INC.,Equity,0.4767,48.45,5072565,$245765774,-,Health Care,B8S0P46,US00287Y1091,Nyse Euronext - Euronext Paris
OXY,OCCIDENTAL PETROLEUM CORP,Equity,0.4748,94.96,2578039,$244810583,-,Energy,2655408,US6745991058,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,0.4699,74.48,3252926,$242277928,-,Health Care,2917766,US91324P1021,New York Stock Exchange Inc.
UNP,UNION PACIFIC CORP,Equity,0.4664,162.04,1484051,$240475624,-,Industrials,2914734,US9078181081,New York Stock Exchange Inc.
MO,ALTRIA GROUP INC,Equity,0.4600,36.98,6413082,$237155772,-,Consumer Staples,2692632,US02209S1033,New York Stock Exchange Inc.
UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.4590,102.38,2311548,$236656284,-,Industrials,2517382,US9113121068,New York Stock Exchange Inc.
AIG*,AMERICAN INTERNATIONAL GROUP INC,Equity,0.4558,49.75,4723544,$234996314,-,Financials,B00PHX6,US0268747849,Bolsa Mexicana De Valores (Mexican Stock Exchange)
USB,US BANCORP,Equity,0.4476,39.22,5884696,$230797777,-,Financials,2736035,US9029733048,New York Stock Exchange Inc.
GS,GOLDMAN SACHS GROUP INC,Equity,0.4379,168.94,1336305,$225755367,-,Financials,2407966,US38141G1040,New York Stock Exchange Inc.
ALD,HONEYWELL INTERNATIONAL,Equity,0.4311,88.51,2511088,$222256399,-,Industrials,4020822,US4385161066,Boerse Berlin
BIIB,BIOGEN INC,Equity,0.4291,290.97,760433,$221263190,-,Health Care,2455965,US09062X1037,NASDAQ
F,FORD MOTOR ORD,Equity,0.4176,17.08,12604882,$215291385,-,Consumer Discretionary,4232490,US3453708600,Swiss Exchange
CELG,CELGENE CORP,Equity,0.4129,161.77,1315875,$212869099,-,Health Care,2182348,US1510201049,NASDAQ
FOXA,TWENTY FIRST CENTURY FOX INC CLASS,Equity,0.4128,33.49,6354788,$212821850,-,Consumer Discretionary,BBM4S68,US90130A1016,NASDAQ
PCLN,PRICELINE GROUP INC/THE,Equity,0.3811,1192.33,164780,$196472137,-,Consumer Discretionary,2779063,US7415034039,NASDAQ
SBUX,STARBUCKS CORP,Equity,0.3798,81.46,2404091,$195837253,-,Consumer Discretionary,2842255,US8552441094,NASDAQ
TWX*,TIME WARNER INC,Equity,0.3751,65.71,2943525,$193419028,-,Consumer Discretionary,B3QHV68,US8873173038,Bolsa Mexicana De Valores (Mexican Stock Exchange)
MON,MONSANTO,Equity,0.3749,113.33,1705665,$193303014,-,Materials,2654320,US61166W1018,New York Stock Exchange Inc.
KTF,MONDELEZ INTERNATIONAL INC CLASS A,Equity,0.3705,33.53,5697195,$191026948,-,Consumer Staples,B8FQR30,US6092071058,Boerse Stuttgart
ABT,ABBOTT LABORATORIES,Equity,0.3683,38.19,4972389,$189895536,-,Health Care,2002305,US0028241000,New York Stock Exchange Inc.
NKE,NIKE INC CLASS B,Equity,0.3673,79.14,2392879,$189372444,-,Consumer Discretionary,2640147,US6541061031,New York Stock Exchange Inc.
EBAY,EBAY INC,Equity,0.3653,50.52,3727643,$188320524,-,Information Technology,2293819,US2786421030,NASDAQ
MWZ,METLIFE INC,Equity,0.3627,52.19,3582854,$186989150,-,Financials,5949841,US59156R1086,Deutsche Boerse Ag
CL,COLGATE-PALMOLIVE,Equity,0.3599,65.81,2819670,$185562483,-,Consumer Staples,2209106,US1941621039,New York Stock Exchange Inc.
MDT,MEDTRONIC PLC,Equity,0.3548,57.32,3191393,$182930647,-,Health Care,2575465,US5850551061,New York Stock Exchange Inc.
DD,E I DU PONT DE NEMOURS,Equity,0.3517,61.38,2954512,$181347947,-,Materials,2018175,US2635341090,New York Stock Exchange Inc.
4XS,EXPRESS SCRIPTS HOLDING CO,Equity,0.3403,67.35,2605004,$175447019,-,Health Care,B7WDD51,US30219G1085,Deutsche Boerse Ag
COST,COSTCO WHOLESALE CORP,Equity,0.3399,125.43,1397156,$175245277,-,Consumer Staples,2701271,US22160K1051,NASDAQ
CAT,CATERPILLAR INC.,Equity,0.3340,84.60,2035556,$172208038,-,Industrials,4516310,US1491231015,Swiss Exchange
HPQ,HEWLETT PACKARD,Equity,0.3262,27.35,6148822,$168170282,-,Information Technology,2424006,US4282361033,New York Stock Exchange Inc.
WAG,WALGREEN,Equity,0.3194,59.20,2781640,$164673088,-,Consumer Staples,2934839,US9314221097,New York Stock Exchange Inc.
ACN,ACCENTURE PLC,Equity,0.3100,77.47,2063174,$159834090,-,Information Technology,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.
LOW,LOWES COMPANIES INC,Equity,0.3099,47.48,3365169,$159778224,-,Consumer Discretionary,2536763,US5486611073,New York Stock Exchange Inc.
LLY,ELI LILLY,Equity,0.3090,50.22,3172089,$159302310,-,Health Care,2516152,US5324571083,New York Stock Exchange Inc.
EMC,EMC CORP,Equity,0.3080,23.85,6657625,$158784356,-,Information Technology,2295172,US2686481027,New York Stock Exchange Inc.
DUK,DUKE ENERGY CORP,Equity,0.3065,69.96,2258527,$158006549,-,Utilities,B7VD3F2,US26441C2044,New York Stock Exchange Inc.
EMR,EMERSON ELECTRIC,Equity,0.2970,66.99,2286133,$153148050,-,Industrials,2313405,US2910111044,New York Stock Exchange Inc.
TXN,TEXAS INSTRUMENTS INCORPORATED,Equity,0.2938,43.00,3523166,$151496138,-,Information Technology,2885409,US8825081040,NASDAQ
DOW,DOW CHEMICAL,Equity,0.2933,39.06,3872044,$151242039,-,Materials,2278719,US2605431038,New York Stock Exchange Inc.
SPG,SIMON PROPERTY GROUP REIT INC,Equity,0.2886,149.85,992911,$148787713,-,Financials,2812452,US8288061091,New York Stock Exchange Inc.
TJX,TJX INC,Equity,0.2791,62.88,2288381,$143893397,-,Consumer Discretionary,2989301,US8725401090,New York Stock Exchange Inc.
EOG,EOG RESOURCES INC,Equity,0.2789,165.00,871585,$143811525,-,Energy,2318024,US26875P1012,New York Stock Exchange Inc.
DHR,DANAHER CORP,Equity,0.2777,74.80,1913891,$143159047,-,Industrials,2250870,US2358511028,New York Stock Exchange Inc.
AAZ,ANADARKO PETROLEUM,Equity,0.2771,88.82,1608380,$142856312,-,Energy,5864676,US0325111070,Boerse Berlin
HAL,HALLIBURTON,Equity,0.2764,52.68,2705420,$142521526,-,Energy,2405302,US4062161017,New York Stock Exchange Inc.
MS,MORGAN STANLEY,Equity,0.2701,31.30,4449070,$139255891,-,Financials,2262314,US6174464486,New York Stock Exchange Inc.
PSX,PHILLIPS 66,Equity,0.2639,69.61,1954965,$136085114,-,Energy,B78C4Y8,US7185461040,New York Stock Exchange Inc.
COF,CAPITAL ONE FINANCIAL CORP,Equity,0.2602,71.63,1872769,$134146443,-,Financials,2654461,US14040H1059,New York Stock Exchange Inc.
KMB,KIMBERLY CLARK CORP,Equity,0.2595,109.16,1225534,$133779291,-,Consumer Staples,2491839,US4943681035,New York Stock Exchange Inc.
PRU*,PRUDENTIAL FINANCIAL INC,Equity,0.2561,88.76,1487747,$132052424,-,Financials,B29FB62,US7443201022,Bolsa Mexicana De Valores (Mexican Stock Exchange)
FDX,FEDEX CORP,Equity,0.2558,138.70,950708,$131863200,-,Industrials,2142784,US31428X1063,New York Stock Exchange Inc.
PNC,PNC FINANCIAL SERVICES GROUP INC,Equity,0.2538,76.95,1700552,$130857476,-,Financials,2692665,US6934751057,New York Stock Exchange Inc.
TGT,TARGET CORP,Equity,0.2504,63.93,2019270,$129091931,-,Consumer Discretionary,2259101,US87612E1064,New York Stock Exchange Inc.
T3W1,TIME WARNER CABLE-A,Equity,0.2451,138.22,914360,$126382839,-,Consumer Discretionary,B650CM2,US88732J2078,Boerse Berlin
BK,BANK OF NEW YORK MELLON CORP,Equity,0.2406,33.70,3680896,$124046195,-,Financials,B1Z77F6,US0640581007,New York Stock Exchange Inc.
ADP,AUTOMATIC DATA PROCESSING INC,Equity,0.2398,80.02,1544772,$123612655,-,Information Technology,2065308,US0530151036,NASDAQ
LOM,LOCKHEED MARTIN CORP.,Equity,0.2370,141.67,862540,$122196042,-,Industrials,5335161,US5398301094,Deutsche Boerse Ag
BLK,BLACKROCK INC.,Equity,0.2366,302.75,402954,$121994324,-,Financials,2494504,US09247X1019,New York Stock Exchange Inc.
MCK,MCKESSON CORP,Equity,0.2354,165.89,731475,$121344388,-,Health Care,2378534,US58155Q1031,New York Stock Exchange Inc.
PCP,PRECISION CASTPARTS CORP,Equity,0.2334,258.45,465640,$120344658,-,Industrials,2699514,US7401891053,-
D,DOMINION RESOURCES INC,Equity,0.2332,64.91,1852543,$120248566,-,Utilities,2542049,US25746U1097,New York Stock Exchange Inc.
PX,PRAXAIR INC,Equity,0.2310,126.26,943360,$119108634,-,Materials,2699291,US74005P1049,New York Stock Exchange Inc.
BAX,BAXTER INTERNATIONAL INC.,Equity,0.2306,68.45,1736630,$118872324,-,Health Care,4514626,US0718131099,Swiss Exchange
APA,APACHE CORP,Equity,0.2293,91.49,1292012,$118206178,-,Energy,2043962,US0374111054,New York Stock Exchange Inc.
GM,GENERAL MOTORS,Equity,0.2262,38.73,3011383,$116630864,-,Consumer Discretionary,B665KZ5,US37045V1008,New York Stock Exchange Inc.
TMO,THERMO FISHER SCIENTIFIC INC,Equity,0.2256,100.85,1153454,$116325836,-,Health Care,2886907,US8835561023,New York Stock Exchange Inc.
FCX*,FREEPORT MCMORAN INC,Equity,0.2234,34.69,3320666,$115193904,-,Materials,B1LJSV9,US35671D8570,Bolsa Mexicana De Valores (Mexican Stock Exchange)
NEE,NEXTERA ENERGY INC,Equity,0.2229,84.59,1358674,$114930234,-,Utilities,2328915,US65339F1012,New York Stock Exchange Inc.
SO,SOUTHERN,Equity,0.2203,40.63,2796026,$113602536,-,Utilities,2829601,US8425871071,New York Stock Exchange Inc.
YHOO,YAHOO! INC,Equity,0.2178,36.98,3035984,$112270688,-,Information Technology,2986539,US9843321061,NASDAQ
