Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL,APPLE INC,Equity,3.9371,125.15,21862006,$2736030051,2736030050.90,Information Technology,2046251,US0378331005,NASDAQ
MSFT,MICROSOFT CORP,Equity,2.1551,48.64,30791266,$1497687178,1497687178.24,Information Technology,2588173,US5949181045,NASDAQ
XOM,EXXON MOBIL CORP,Equity,1.9794,87.37,15743928,$1375546989,1375546989.36,Energy,2326618,US30231G1022,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,1.4897,99.20,10436015,$1035252688,1035252688.00,Health Care,2475833,US4781601046,New York Stock Exchange Inc.
GE,GENERAL ELECTRIC,Equity,1.4721,27.08,37776648,$1022991628,1022991627.84,Industrials,2380498,US3696041033,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,1.3953,55.10,17597639,$969629909,969629908.90,Financials,2649100,US9497461015,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.3909,141.21,6844849,$966561127,966561127.29,Financials,2073390,US0846707026,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,1.2738,63.26,13993490,$885228177,885228177.40,Financials,2190385,US46625H1005,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.1597,79.51,10135831,$805899923,805899922.81,Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,1.1320,50.44,15596515,$786688217,786688216.60,Telecommunications,2090571,US92343V1044,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,1.1278,111.06,7056888,$783737981,783737981.28,Energy,2838555,US1667641005,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,1.1231,33.93,23003457,$780507296,780507296.01,Health Care,2684703,US7170811035,New York Stock Exchange Inc.
T,AT&T INC,Equity,0.9710,34.64,19480291,$674797280,674797280.24,Telecommunications,2831811,US00206R1023,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,0.9181,108.72,5868661,$638040824,638040823.92,Consumer Discretionary,2270726,US2546871060,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,0.9130,59.56,10652610,$634469452,634469451.60,Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,0.9051,15.93,39483174,$628966962,628966961.82,Financials,2295677,US0605051046,New York Stock Exchange Inc.
FB,FACEBOOK CLASS A INC,Equity,0.8931,78.77,7879136,$620639543,620639542.72,Information Technology,B7TL820,US30303M1027,NASDAQ
C,CITIGROUP INC,Equity,0.8737,53.32,11386978,$607153667,607153666.96,Financials,2297907,US1729674242,New York Stock Exchange Inc.
AMZN,AMAZON COM INC,Equity,0.8675,421.78,1429244,$602826534,602826534.32,Consumer Discretionary,2000019,US0231351067,NASDAQ
KO,COCA-COLA,Equity,0.8608,40.56,14749075,$598222482,598222482.00,Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
