Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
PMCS,PMC-SIERRA INC.,Equity,0.0102,6.30,301030,$1896489,1896489.00,-,2807492,US69344F1066,NASDAQ
PGL,PEOPLES ENERGY CORPORATION,Equity,0.0130,43.55,55623,$2422382,2422382.00,-,2681403,US7110301063,New York Stock Exchange Inc.
SANM,SANMINA-SCI CORP.,Equity,0.0145,3.50,767853,$2687486,2687486.00,-,2780366,US8009072062,NASDAQ
ADCT,ADC TELECOMMUNICATIONS,Equity,0.0145,16.14,167060,$2696348,2696348.00,-,B08G9Z7,US0008863096,NASDAQ
GAS.2,NICOR INC,Equity,0.0157,45.50,64115,$2917233,2917233.00,-,2639509,US6540861076,New York Stock Exchange Inc.
DDS,DILLARDS INC CLASS A,Equity,0.0161,34.34,87203,$2994551,2994551.00,-,2269768,US2540671011,New York Stock Exchange Inc.
HPC,HERCULES INC.,Equity,0.0173,19.61,163407,$3204411,3204411.00,-,2422442,US4270561065,New York Stock Exchange Inc.
MDP,MEREDITH CORP.,Equity,0.0176,58.96,55599,$3278117,3278117.00,-,2578516,US5894331017,New York Stock Exchange Inc.
CIEN,CIENA CORP,Equity,0.0182,28.09,120170,$3375575,3375575.00,-,B1FLZ21,US1717793095,New York Stock Exchange Inc.
TEK,TEKTRONIX INC.,Equity,0.0182,28.27,119891,$3389319,3389319.00,-,2880501,US8791311009,New York Stock Exchange Inc.
DJ,DOW JONES & COMPANY INC.,Equity,0.0189,37.71,92868,$3502052,3502052.00,-,2279002,US2605611050,New York Stock Exchange Inc.
NOVL,NOVELL,Equity,0.0189,7.25,483630,$3506318,3506318.00,-,2650793,US6700061053,NASDAQ
DYN,DYNEGY INC. (CL A),Equity,0.0211,7.05,554710,$3910706,3910706.00,-,-,US26816Q1013,New York Stock Exchange Inc.
WPI,WATSON PHARMACEUTICALS,Equity,0.0215,27.22,146814,$3996277,3996277.00,-,2943545,US9426831031,New York Stock Exchange Inc.
SNA,SNAP-ON INC.,Equity,0.0216,48.21,83181,$4010156,4010156.00,-,2818740,US8330341012,New York Stock Exchange Inc.
BIG,BIG LOTS INC.,Equity,0.0217,25.93,155499,$4032089,4032089.00,-,2218447,US0893021032,New York Stock Exchange Inc.
CCTYQ,CIRCUIT CITY STORES INC,Equity,0.0221,20.41,201572,$4114085,4114085.00,-,2199326,US1727371080,Non-Nms Quotation Service (Nnqs)
TER,TERADYNE INC.,Equity,0.0224,14.90,279124,$4158948,4158948.00,-,2884183,US8807701029,New York Stock Exchange Inc.
QLG,QLOGIC,Equity,0.0224,18.30,227641,$4165830,4165830.00,-,5643808,US7472771010,Boerse Muenchen
SLR,SOLECTRON CORP.,Equity,0.0228,3.25,1304085,$4238276,4238276.00,-,2820563,US8341821077,New York Stock Exchange Inc.
UIS,UNISYS CORP.,Equity,0.0230,8.62,494978,$4266710,4266710.00,-,2931595,US9092143067,New York Stock Exchange Inc.
BOL,BAUSCH & LOMB INC.,Equity,0.0230,55.68,76665,$4268707,4268707.00,-,2084637,US0717071031,New York Stock Exchange Inc.
RSHCQ,RS LEGACY CORP,Equity,0.0232,22.10,194956,$4308528,4308528.00,-,2871505,US7504381036,Non-Nms Quotation Service (Nnqs)
PKI,PERKINELMER INC.,Equity,0.0232,23.87,180622,$4311447,4311447.00,-,2305844,US7140461093,New York Stock Exchange Inc.
BC,BRUNSWICK CORP,Equity,0.0245,34.11,133575,$4556243,4556243.00,-,2149309,US1170431092,New York Stock Exchange Inc.
FII,FEDERATED INVESTORS INC.,Equity,0.0246,35.31,129573,$4575223,4575223.00,-,2246288,US3142111034,New York Stock Exchange Inc.
WEN.2,WENDYS INTERNATIONAL INC.,Equity,0.0250,33.96,136494,$4635336,4635336.00,-,2947956,US9505901093,New York Stock Exchange Inc.
AW,ALLIED WASTE INDUSTRIES INC.,Equity,0.0250,12.79,362802,$4640238,4640238.00,-,2039831,US0195893088,New York Stock Exchange Inc.
