Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
GHC,GRAHAM HOLDINGS COMPANY CO CLASS B,Equity,0.0306,596.50,9070,$5410255,-,Consumer Discretionary,2942003,US9396401088,New York Stock Exchange Inc.
MDP,MEREDITH CORP.,Equity,0.0094,28.38,58341,$1655718,-,Consumer Discretionary,2578516,US5894331017,New York Stock Exchange Inc.
ISRG,INTUITIVE SURGICAL INC,Equity,0.1016,295.27,60880,$17976038,-,Health Care,2871301,US46120E6023,NASDAQ
AZO,AUTOZONE INC,Equity,0.0524,137.23,67542,$9268789,-,Consumer Discretionary,2065955,US0533321024,New York Stock Exchange Inc.
GAS.2,NICOR INC,Equity,0.0184,45.89,71059,$3260898,-,Utilities,2639509,US6540861076,New York Stock Exchange Inc.
MIL.,MILLIPORE CORP,Equity,0.0367,75.01,86502,$6488515,-,Health Care,2594437,US6010731098,New York Stock Exchange Inc.
ASH,ASHLAND INC,Equity,0.0204,40.93,88187,$3609494,-,Materials,B0BVFJ5,US0442091049,New York Stock Exchange Inc.
CF,CF INDUSTRIES HOLDINGS INC,Equity,0.0763,152.40,88640,$13508736,-,Materials,B0G4K50,US1252691001,New York Stock Exchange Inc.
R,RYDER SYSTEM INC,Equity,0.0329,64.52,90188,$5818930,-,Industrials,2760669,US7835491082,New York Stock Exchange Inc.
SNA,SNAP-ON INC.,Equity,0.0292,57.02,90544,$5162819,-,Consumer Discretionary,2818740,US8330341012,New York Stock Exchange Inc.
RL,POLO RALPH LAUREN CORP.,Equity,0.0389,75.88,90708,$6882923,-,Consumer Discretionary,2018409,US7315721032,New York Stock Exchange Inc.
DDS,DILLARDS INC CLASS A,Equity,0.0066,12.77,91073,$1163002,-,Consumer Discretionary,2269768,US2540671011,New York Stock Exchange Inc.
HAR,HARMAN INTERNATIONAL INDUSTRIES IN,Equity,0.0175,34.03,91171,$3102549,-,Consumer Discretionary,2411138,US4130861093,New York Stock Exchange Inc.
BDK,THE BLACK & DECKER CORPORATION,Equity,0.0344,63.25,96258,$6088319,-,Consumer Discretionary,2101503,US0917971006,New York Stock Exchange Inc.
GWW,WW GRAINGER INC,Equity,0.0520,90.03,102203,$9201336,-,Industrials,2380863,US3848021040,New York Stock Exchange Inc.
MX4A,CME GROUP INC CLASS A,Equity,0.1999,335.38,105501,$35382925,-,Financials,B012KV5,US12572Q1058,Boerse Berlin
SHLD,SEARS HOLDINGS CORP,Equity,0.0572,91.95,110067,$10120661,-,Consumer Discretionary,2634805,US8123501061,NASDAQ
ICE,INTERCONTINENTALEXCHANGE INC.,Equity,0.0552,88.03,110946,$9766576,-,Financials,B0PBS81,US45865V1008,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,0.1571,242.55,114640,$27805932,-,Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
WHR,WHIRLPOOL CORP,Equity,0.0545,81.36,118537,$9644170,-,Consumer Discretionary,2960384,US9633201069,New York Stock Exchange Inc.
EMN,EASTMAN CHEMICAL,Equity,0.0408,60.32,119761,$7223984,-,Materials,2298386,US2774321002,New York Stock Exchange Inc.
TEG,INTEGRYS ENERGY GROUP INC.,Equity,0.0356,52.27,120486,$6297803,-,Utilities,2982098,US45822P1057,New York Stock Exchange Inc.
