Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
GHC,GRAHAM HOLDINGS COMPANY CO CLASS B,Equity,0.0175,402.30,11887,$4782140,-,Consumer Discretionary,2942003,US9396401088,New York Stock Exchange Inc.
AZO,AUTOZONE INC,Equity,0.0610,285.45,58269,$16632886,-,Consumer Discretionary,2065955,US0533321024,New York Stock Exchange Inc.
CMG,CHIPOTLE MEXICAN GRILL INC,Equity,0.0855,324.58,71799,$23304519,-,Consumer Discretionary,B0X7DZ3,US1696561059,New York Stock Exchange Inc.
ISRG,INTUITIVE SURGICAL INC,Equity,0.1332,400.55,90635,$36303849,-,Health Care,2871301,US46120E6023,NASDAQ
SHLD,SEARS HOLDINGS CORP,Equity,0.0254,69.67,99306,$6918649,-,Consumer Discretionary,2634805,US8123501061,NASDAQ
NFLX,NETFLIX INC,Equity,0.0981,265.99,100503,$26732793,-,Consumer Discretionary,2857817,US64110L1061,NASDAQ
GAS.2,NICOR INC,Equity,0.0208,54.70,103843,$5680212,-,Utilities,2639509,US6540861076,New York Stock Exchange Inc.
DNB,DUN & BRADSTREET CORP,Equity,0.0303,72.55,113866,$8260978,-,Industrials,2636254,US26483E1001,New York Stock Exchange Inc.
PCLN,PRICELINE GROUP INC/THE,Equity,0.2258,537.65,114480,$61550172,-,Consumer Discretionary,2779063,US7415034039,NASDAQ
R,RYDER SYSTEM INC,Equity,0.0244,56.32,118328,$6664233,-,Industrials,2760669,US7835491082,New York Stock Exchange Inc.
FSLR,FIRST SOLAR INC,Equity,0.0543,118.23,125114,$14792228,-,Information Technology,B1HMF22,US3364331070,NASDAQ
FLS,FLOWSERVE CORP,Equity,0.0469,99.38,128683,$12788517,-,Industrials,2288406,US34354P1057,New York Stock Exchange Inc.
GWW,WW GRAINGER INC,Equity,0.0730,148.37,134112,$19898197,-,Industrials,2380863,US3848021040,New York Stock Exchange Inc.
SNA,SNAP-ON INC.,Equity,0.0280,56.86,134132,$7626746,-,Industrials,2818740,US8330341012,New York Stock Exchange Inc.
DV,DEVRY EDUCATION GROUP INC,Equity,0.0322,62.14,141115,$8768886,-,Consumer Discretionary,2267609,US2518931033,New York Stock Exchange Inc.
AN,AUTONATION INC,Equity,0.0202,37.61,146565,$5512310,-,Consumer Discretionary,2732635,US05329W1027,New York Stock Exchange Inc.
RL,POLO RALPH LAUREN CORP.,Equity,0.0734,135.07,148213,$20019130,-,Consumer Discretionary,2018409,US7315721032,New York Stock Exchange Inc.
MX4A,CME GROUP INC CLASS A,Equity,0.1641,289.19,154658,$44725547,-,Financials,B012KV5,US12572Q1058,Boerse Berlin
DO,DIAMOND OFFSHORE DRILLING INC,Equity,0.0399,67.83,160209,$10866976,-,Energy,2261021,US25271C1027,New York Stock Exchange Inc.
ARG,AIRGAS INC,Equity,0.0406,68.70,161011,$11061456,-,Materials,2011561,US0093631028,New York Stock Exchange Inc.
HAR,HARMAN INTERNATIONAL INDUSTRIES IN,Equity,0.0246,41.60,161087,$6701219,-,Consumer Discretionary,2411138,US4130861093,New York Stock Exchange Inc.
EMN,EASTMAN CHEMICAL,Equity,0.0580,96.59,163748,$15816419,-,Materials,2298386,US2774321002,New York Stock Exchange Inc.
CF,CF INDUSTRIES HOLDINGS INC,Equity,0.0940,155.32,164916,$25614753,-,Materials,B0G4K50,US1252691001,New York Stock Exchange Inc.
FMC,FMC CORP,Equity,0.0531,87.57,165334,$14478298,-,Materials,2328603,US3024913036,New York Stock Exchange Inc.
ICE,INTERCONTINENTALEXCHANGE INC.,Equity,0.0766,123.30,169444,$20892445,-,Financials,B0PBS81,US45865V1008,New York Stock Exchange Inc.
BIG,BIG LOTS INC.,Equity,0.0221,34.83,173243,$6034054,-,Consumer Discretionary,2218447,US0893021032,New York Stock Exchange Inc.
WYNN,WYNN RESORTS LTD,Equity,0.0990,153.68,175568,$26981290,-,Consumer Discretionary,2963811,US9831341071,NASDAQ
WHR,WHIRLPOOL CORP,Equity,0.0446,69.23,175687,$12162811,-,Consumer Discretionary,2960384,US9633201069,New York Stock Exchange Inc.
CEPH,CEPHALON INC,Equity,0.0520,79.94,177282,$14171923,-,Health Care,2185143,US1567081096,NASDAQ
TEG,INTEGRYS ENERGY GROUP INC.,Equity,0.0330,50.21,179446,$9009984,-,Utilities,2982098,US45822P1057,New York Stock Exchange Inc.
LXK,LEXMARK INTERNATIONAL INC.,Equity,0.0225,33.57,182587,$6129446,-,Information Technology,2511908,US5297711070,New York Stock Exchange Inc.
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Equity,0.0416,61.17,185266,$11332721,-,Materials,2464165,US4595061015,New York Stock Exchange Inc.
FFIV,F5 NETWORKS INC,Equity,0.0641,93.48,186963,$17477301,-,Information Technology,2427599,US3156161024,NASDAQ
BCR,C R BARD INC,Equity,0.0715,98.68,197417,$19481110,-,Health Care,2077905,US0673831097,New York Stock Exchange Inc.
SRCL,STERICYCLE INC,Equity,0.0596,82.12,197860,$16248263,-,Industrials,2860826,US8589121081,NASDAQ
AVB,AVALONBAY COMMUNITIES REIT INC,Equity,0.0992,134.19,201436,$27030697,-,Financials,2131179,US0534841012,New York Stock Exchange Inc.
VFC,VF CORP,Equity,0.0864,116.80,201711,$23559845,-,Consumer Discretionary,2928683,US9182041080,New York Stock Exchange Inc.
ANF,ABERCROMBIE & FITCH CO. CL A,Equity,0.0542,73.12,202050,$14773896,-,Consumer Discretionary,2004185,US0028962076,New York Stock Exchange Inc.
SHW,SHERWIN WILLIAMS,Equity,0.0576,77.17,203648,$15715516,-,Materials,2804211,US8243481061,New York Stock Exchange Inc.
NVLS,NOVELLUS SYSTEMS INC.,Equity,0.0234,31.04,205833,$6389056,-,Information Technology,2650748,US6700081010,NASDAQ
TIE,TITANIUM METALS CORP.,Equity,0.0135,17.79,207613,$3693435,-,Materials,2340931,US8883392073,New York Stock Exchange Inc.
SNI,SCRIPPS NETWORKS INTERACTIVE INC C,Equity,0.0356,46.34,209237,$9696043,-,Consumer Discretionary,B39QT24,US8110651010,NASDAQ
WAT,WATER CORP CORP,Equity,0.0681,87.89,211200,$18562368,-,Health Care,2937689,US9418481035,New York Stock Exchange Inc.
FII,FEDERATED INVESTORS INC.,Equity,0.0168,21.37,214573,$4585425,-,Financials,2246288,US3142111034,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,0.2415,303.25,217129,$65844369,-,Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
DVA,DAVITA INC,Equity,0.0674,83.54,220096,$18386820,-,Health Care,2898087,US23918K1088,New York Stock Exchange Inc.
PDCO,PATTERSON COMPANIES INC,Equity,0.0250,30.84,220908,$6812803,-,Health Care,2672689,US7033951036,NASDAQ
ROP,ROPER TECHNOLOGIES INC,Equity,0.0662,81.63,221034,$18043005,-,Industrials,2749602,US7766961061,New York Stock Exchange Inc.
BLK,BLACKROCK INC.,Equity,0.1451,178.46,221686,$39562084,-,Financials,2494504,US09247X1019,New York Stock Exchange Inc.
AIZ,ASSURANT INC,Equity,0.0291,35.62,222427,$7922850,-,Financials,2331430,US04621X1081,New York Stock Exchange Inc.
LH,LABORATORY CORPORATION OF AMERICA,Equity,0.0769,90.76,230940,$20960114,-,Health Care,2586122,US50540R4092,New York Stock Exchange Inc.
BF.B,BROWN FORMAN CORP CLASS B,Equity,0.0641,73.56,237594,$17477415,-,Consumer Staples,2146838,US1156372096,New York Stock Exchange Inc.
COG,CABOT OIL & GAS CORP,Equity,0.0654,74.08,240764,$17835797,-,Energy,2162340,US1270971039,New York Stock Exchange Inc.
JOY,JOY GLOBAL INC,Equity,0.0834,93.92,242106,$22738596,-,Industrials,2781905,US4811651086,New York Stock Exchange Inc.
BMS,BEMIS INC,Equity,0.0281,31.60,242776,$7671722,-,Materials,2090173,US0814371052,New York Stock Exchange Inc.
AVY,AVERY DENNISON CORP,Equity,0.0282,31.55,243516,$7682930,-,Industrials,2066408,US0536111091,New York Stock Exchange Inc.
ATI,ALLEGHENY TECHNOLOGIES INC,Equity,0.0522,58.19,244590,$14232692,-,Materials,2526117,US01741R1023,New York Stock Exchange Inc.
LLL,L-3 COMMUNICATIONS HOLDINGS INC,Equity,0.0710,79.12,244595,$19352356,-,Industrials,2247366,US5024241045,New York Stock Exchange Inc.
