Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL*,APPLE INC,Equity,2.8875,449.68,2733695,$1229287968,-,Information Technology,B011001,US0378331005,Bolsa Mexicana De Valores (Mexican Stock Exchange)
XOM,EXXON MOBIL CORP,Equity,2.7717,90.47,13043179,$1180016404,-,Energy,2326618,US30231G1022,New York Stock Exchange Inc.
MSFT,MICROSOFT CORP,Equity,1.7980,34.88,21945985,$765475957,-,Information Technology,2588173,US5949181045,NASDAQ
GEC,GENERAL ELECTRIC CO.,Equity,1.6581,23.32,30270758,$705914077,-,Industrials,5254471,US3696041033,Deutsche Boerse Ag
CVX,CHEVRON CORP,Equity,1.6306,122.75,5655449,$694206365,-,Energy,2838555,US1667641005,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,1.6091,84.18,8137635,$685026114,-,Health Care,2475833,US4781601046,New York Stock Exchange Inc.
GOOGL,GOOGLE INC CLASS A,Equity,1.5893,870.41,777359,$676621047,-,Information Technology,B84V7F8,US38259P5089,Spot Regulated Market - Bvb
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,1.4902,208.02,3049772,$634413571,-,Information Technology,2005973,US4592001014,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.4338,76.76,7952218,$610412254,-,Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE,Equity,1.4304,54.59,11155201,$608962423,-,Financials,0190031,US46625H1005,London Stock Exchange
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.4227,114.07,5309714,$605679076,-,Financials,2073390,US0846707026,New York Stock Exchange Inc.
WFC*,WELLS FARGO CO,Equity,1.3592,40.55,14270219,$578657380,-,Financials,B045BZ2,US9497461015,Bolsa Mexicana De Valores (Mexican Stock Exchange)
PFE,PFIZER INC,Equity,1.3386,27.23,20928169,$569874042,-,Health Care,2684703,US7170811035,New York Stock Exchange Inc.
T,AT&T INC,Equity,1.3139,34.99,15986546,$559369245,-,Telecommunication Services,2831811,US00206R1023,New York Stock Exchange Inc.
C,CITIGROUP INC,Equity,1.0803,51.99,8846487,$459928859,-,Financials,2297907,US1729674242,New York Stock Exchange Inc.
KO,COCA-COLA,Equity,1.0481,39.99,11157777,$446199502,-,Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,1.0243,90.91,4796972,$436092725,-,Consumer Staples,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,1.0107,13.66,31499493,$430283074,-,Financials,BHZL9B0,US0605051046,Swiss Exchange
MRK,MERCK & CO INC,Equity,0.9651,46.70,8798582,$410893779,-,Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,0.9475,48.48,8320840,$403394323,-,Telecommunication Services,2090571,US92343V1044,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,0.8780,24.08,15522242,$373775587,-,Information Technology,2198163,US17275R1023,NASDAQ
WMT,WALMART STORES INC,Equity,0.8560,74.84,4869206,$364411377,-,Consumer Staples,2961280,US9311421039,Bolsa De Valores De Lima
ORCL,ORACLE CORP,Equity,0.8525,33.76,10750037,$362921249,-,Information Technology,2661568,US68389X1054,New York Stock Exchange Inc.
PEP,PEPSICO INC,Equity,0.8521,80.77,4491312,$362763270,-,Consumer Staples,2681511,US7134481081,New York Stock Exchange Inc.
INCO,INTEL CORPORATION CORP,Equity,0.8212,24.28,14398503,$349595653,-,Information Technology,5923652,US4581401001,Nyse Euronext - Euronext Amsterdam
HD,HOME DEPOT INC,Equity,0.8042,78.66,4352712,$342384326,-,Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,0.7788,63.08,5255949,$331545263,-,Consumer Discretionary,2270726,US2546871060,New York Stock Exchange Inc.
QCI,QUALCOMM,Equity,0.7458,63.48,5001759,$317511661,-,Information Technology,5382468,US7475251036,Deutsche Boerse Ag
CMCSA,COMCAST A CORP,Equity,0.7247,40.15,7683975,$308511596,-,Consumer Discretionary,2044545,US20030N1019,NASDAQ
AMZN,AMAZON COM INC,Equity,0.6689,269.03,1058592,$284793006,-,Consumer Discretionary,2000019,US0231351067,NASDAQ
SLBA,SCHLUMBERGER LTD.,Equity,0.6633,73.03,3866753,$282388972,-,Energy,4779232,AN8068571086,Nyse Euronext - Euronext Amsterdam
MCD,MCDONALDS CORP,Equity,0.6622,96.57,2919255,$281912455,-,Consumer Discretionary,2550707,US5801351017,New York Stock Exchange Inc.
VISA,VISA INC,Equity,0.6282,178.14,1501320,$267445145,-,Information Technology,B73HHS3,US92826C8394,Spot Regulated Market - Bvb
GILD,GILEAD SCIENCES INC,Equity,0.5671,54.48,4431922,$241451111,-,Health Care,2369174,US3755581036,NASDAQ
UTX,UNITED TECHNOLOGIES CORP,Equity,0.5473,94.90,2455032,$232982537,-,Industrials,2915500,US9130171096,New York Stock Exchange Inc.
BMY,BRISTOL MYERS SQUIBB,Equity,0.5151,46.01,4766599,$219311220,-,Health Care,2126335,US1101221083,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,0.5145,100.53,2178725,$219027224,-,Health Care,2023607,US0311621009,NASDAQ
COP,CONOCOPHILLIPS,Equity,0.5121,61.34,3554526,$218034625,-,Energy,2685717,US20825C1045,New York Stock Exchange Inc.
OXY,OCCIDENTAL PETROLEUM CORP,Equity,0.5071,92.07,2344926,$215897337,-,Energy,2655408,US6745991058,New York Stock Exchange Inc.
AEC1,AMERICAN EXPRESS ORD,Equity,0.4975,75.71,2797750,$211817653,-,Financials,4028440,US0258161092,Boerse Berlin
UNP,UNION PACIFIC CORP,Equity,0.4962,154.62,1366238,$211247720,-,Industrials,2914734,US9078181081,New York Stock Exchange Inc.
MO,ALTRIA GROUP INC,Equity,0.4961,36.10,5850978,$211220306,-,Consumer Staples,2692632,US02209S1033,New York Stock Exchange Inc.
GS,GOLDMAN SACHS GROUP INC,Equity,0.4850,162.08,1273856,$206466580,-,Financials,2407966,US38141G1040,New York Stock Exchange Inc.
CVS,CVS HEALTH CORP,Equity,0.4848,57.58,3584211,$206378869,-,Consumer Staples,2577609,US1266501006,New York Stock Exchange Inc.
MMM,3M CO,Equity,0.4787,110.27,1848013,$203780394,-,Industrials,2595708,US88579Y1010,New York Stock Exchange Inc.
ABBV,ABBVIE INC.,Equity,0.4614,42.69,4601582,$196441536,-,Health Care,B8S0P46,US00287Y1091,Nyse Euronext - Euronext Paris
BA,BOEING,Equity,0.4608,99.02,1981163,$196174760,-,Industrials,2108601,US0970231058,New York Stock Exchange Inc.
AIG*,AMERICAN INTERNATIONAL GROUP INC,Equity,0.4488,44.46,4297776,$191079121,-,Financials,B00PHX6,US0268747849,Bolsa Mexicana De Valores (Mexican Stock Exchange)
USB,US BANCORP,Equity,0.4467,35.06,5424604,$190186616,-,Financials,2736035,US9029733048,New York Stock Exchange Inc.
NCRA,NEWS CORP. CL A,Equity,0.4391,32.11,5821448,$186926695,-,Consumer Discretionary,B03DQ41,US65248E1047,NASDAQ
UNH,UNITEDHEALTH GROUP INC,Equity,0.4389,62.63,2983749,$186872200,-,Health Care,2917766,US91324P1021,New York Stock Exchange Inc.
EBAY,EBAY INC,Equity,0.4317,54.10,3396876,$183770992,-,Information Technology,2293819,US2786421030,NASDAQ
F,FORD MOTOR ORD,Equity,0.4205,15.68,11418440,$179041139,-,Consumer Discretionary,4232490,US3453708600,Swiss Exchange
ALD,HONEYWELL INTERNATIONAL,Equity,0.4205,78.46,2281703,$179022417,-,Industrials,4020822,US4385161066,Boerse Berlin
UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.4200,85.90,2081760,$178823184,-,Industrials,2517382,US9113121068,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,0.4117,570.25,307337,$175258924,-,Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
ABT,ABBOTT LABORATORIES,Equity,0.3938,36.67,4572443,$167671485,-,Health Care,2002305,US0028241000,New York Stock Exchange Inc.
CAT,CATERPILLAR INC.,Equity,0.3843,85.80,1906954,$163616653,-,Industrials,4516310,US1491231015,Swiss Exchange
BIIB,BIOGEN INC,Equity,0.3838,237.49,687966,$163385045,-,Health Care,2455965,US09062X1037,NASDAQ
TWX*,TIME WARNER INC,Equity,0.3731,58.37,2721291,$158841756,-,Consumer Discretionary,B3QHV68,US8873173038,Bolsa Mexicana De Valores (Mexican Stock Exchange)
MON,MONSANTO,Equity,0.3687,100.64,1559841,$156982398,-,Materials,2654320,US61166W1018,New York Stock Exchange Inc.
LLY,ELI LILLY,Equity,0.3629,53.16,2906140,$154490402,-,Health Care,2516152,US5324571083,New York Stock Exchange Inc.
ACN,ACCENTURE PLC,Equity,0.3618,82.11,1875774,$154019803,-,Information Technology,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.
KTF,MONDELEZ INTERNATIONAL INC CLASS A,Equity,0.3582,29.46,5176886,$152511062,-,Consumer Staples,B8FQR30,US6092071058,Boerse Stuttgart
SPG,SIMON PROPERTY GROUP REIT INC,Equity,0.3569,166.44,912789,$151924601,-,Financials,2812452,US8288061091,New York Stock Exchange Inc.
DD,E I DU PONT DE NEMOURS,Equity,0.3564,55.79,2719880,$151742105,-,Materials,2018175,US2635341090,New York Stock Exchange Inc.
EMC,EMC CORP,Equity,0.3563,24.76,6126313,$151687510,-,Information Technology,2295172,US2686481027,New York Stock Exchange Inc.
CELG,CELGENE CORP,Equity,0.3540,123.65,1219001,$150729474,-,Health Care,2182348,US1510201049,NASDAQ
MDT,MEDTRONIC PLC,Equity,0.3528,51.01,2944212,$150184254,-,Health Care,2575465,US5850551061,New York Stock Exchange Inc.
CL,COLGATE-PALMOLIVE,Equity,0.3478,57.84,2559686,$148052238,-,Consumer Staples,2209106,US1941621039,New York Stock Exchange Inc.
4XS,EXPRESS SCRIPTS HOLDING CO,Equity,0.3477,62.12,2382804,$148019784,-,Health Care,B7WDD51,US30219G1085,Deutsche Boerse Ag
MWZ,METLIFE INC,Equity,0.3306,44.21,3183588,$140746425,-,Financials,5949841,US59156R1086,Deutsche Boerse Ag
COST,COSTCO WHOLESALE CORP,Equity,0.3267,109.67,1268238,$139087661,-,Consumer Staples,2701271,US22160K1051,NASDAQ
HPQ,HEWLETT PACKARD,Equity,0.3261,24.42,5684670,$138819641,-,Information Technology,2424006,US4282361033,New York Stock Exchange Inc.
SBUX,STARBUCKS CORP,Equity,0.3232,63.07,2181350,$137577745,-,Consumer Discretionary,2842255,US8552441094,NASDAQ
DUK,DUKE ENERGY CORP,Equity,0.3225,66.93,2051377,$137298663,-,Utilities,B7VD3F2,US26441C2044,New York Stock Exchange Inc.
LOW,LOWES COMPANIES INC,Equity,0.3196,42.11,3231310,$136070464,-,Consumer Discretionary,2536763,US5486611073,New York Stock Exchange Inc.
TGT,TARGET CORP,Equity,0.3093,69.50,1894605,$131675048,-,Consumer Discretionary,2259101,US87612E1064,New York Stock Exchange Inc.
NKE,NIKE INC CLASS B,Equity,0.3059,61.66,2112156,$130235539,-,Consumer Discretionary,2640147,US6541061031,New York Stock Exchange Inc.
AAZ,ANADARKO PETROLEUM,Equity,0.2994,87.47,1457210,$127462159,-,Energy,5864676,US0325111070,Boerse Berlin
PCLN,PRICELINE GROUP INC/THE,Equity,0.2852,803.93,151006,$121398254,-,Consumer Discretionary,2779063,US7415034039,NASDAQ
