Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL,APPLE INC,Equity,2.8771,93.74,21902680,$2053157223,2053157223.20,Information Technology,2046251,US0378331005,NASDAQ
MSFT,MICROSOFT CORP,Equity,2.1834,49.87,31243981,$1558137332,1558137332.47,Information Technology,2588173,US5949181045,NASDAQ
XOM,EXXON MOBIL CORP,Equity,2.0321,88.40,16404554,$1450162574,1450162573.60,Energy,2326618,US30231G1022,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,1.7120,112.08,10900238,$1221698675,1221698675.04,Health Care,2475833,US4781601046,New York Stock Exchange Inc.
GE,GENERAL ELECTRIC,Equity,1.5882,30.75,36858488,$1133398506,1133398506.00,Industrials,2380498,US3696041033,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.5088,145.48,7401042,$1076703590,1076703590.16,Financials,2073390,US0846707026,New York Stock Exchange Inc.
FB,FACEBOOK CLASS A INC,Equity,1.4937,117.58,9065641,$1065938069,1065938068.78,Information Technology,B7TL820,US30303M1027,NASDAQ
AMZN,AMAZON COM INC,Equity,1.4097,659.59,1525171,$1005987540,1005987539.89,Consumer Discretionary,2000019,US0231351067,NASDAQ
T,AT&T INC,Equity,1.3218,38.82,24298965,$943285821,943285821.30,Telecommunications,2831811,US00206R1023,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,1.2840,63.20,14498555,$916308676,916308676.00,Financials,2190385,US46625H1005,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,1.2781,49.98,18249503,$912110160,912110159.94,Financials,2649100,US9497461015,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.1764,80.12,10478359,$839526123,839526123.08,Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,1.1487,50.94,16092790,$819766723,819766722.60,Telecommunications,2090571,US92343V1044,New York Stock Exchange Inc.
GOOGL,ALPHABET INC CLASS A,Equity,1.1465,707.88,1155776,$818150715,818150714.88,Information Technology,BYVY8G0,US02079K3059,NASDAQ
GOOG,ALPHABET INC CLASS C,Equity,1.1400,693.01,1173886,$813514737,813514736.86,Information Technology,BYY88Y7,US02079K1079,NASDAQ
PFE,PFIZER INC,Equity,1.0951,32.71,23891788,$781500385,781500385.48,Health Care,2684703,US7170811035,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,1.0651,102.18,7438968,$760113750,760113750.24,Energy,2838555,US1667641005,New York Stock Exchange Inc.
KO,COCA-COLA,Equity,0.9663,44.80,15392418,$689580326,689580326.40,Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,0.9397,133.89,5008470,$670584048,670584048.30,Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,0.8580,103.26,5929526,$612282855,612282854.76,Consumer Discretionary,2270726,US2546871060,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,0.8425,54.84,10963011,$601211523,601211523.24,Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.8415,98.12,6120330,$600526780,600526779.60,Consumer Staples,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,0.8322,14.56,40788974,$593887461,593887461.44,Financials,2295677,US0605051046,New York Stock Exchange Inc.
PEP,PEPSICO INC,Equity,0.8238,102.96,5709766,$587877507,587877507.36,Consumer Staples,2681511,US7134481081,New York Stock Exchange Inc.
