Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
WEN,WENDYS/ARBYS GROUP INC.,Equity,0.0002,5.26,6936,$36483,-,Consumer Discretionary,2289744,US9505871056,New York Stock Exchange Inc.
GHC,GRAHAM HOLDINGS COMPANY CO CLASS B,Equity,0.0326,556.76,9807,$5460145,-,Consumer Discretionary,2942003,US9396401088,New York Stock Exchange Inc.
WAMUQ,WASHINGTON MUTUAL CORP,Equity,0.0000,0.08,27232,$2233,-,Financials,2942188,US9393221034,Non-Nms Quotation Service (Nnqs)
MDP,MEREDITH CORP.,Equity,0.0099,28.04,59170,$1659127,-,Consumer Discretionary,2578516,US5894331017,New York Stock Exchange Inc.
ISRG,INTUITIVE SURGICAL INC,Equity,0.0919,240.98,63892,$15396694,-,Health Care,2871301,US46120E6023,NASDAQ
AZO,AUTOZONE INC,Equity,0.0499,123.34,67813,$8364055,-,Consumer Discretionary,2065955,US0533321024,New York Stock Exchange Inc.
GAS.2,NICOR INC,Equity,0.0197,44.35,74309,$3295604,-,Utilities,2639509,US6540861076,New York Stock Exchange Inc.
MIL.,MILLIPORE CORP,Equity,0.0371,68.80,90377,$6217938,-,Health Care,2594437,US6010731098,New York Stock Exchange Inc.
ASH,ASHLAND INC,Equity,0.0161,29.24,92187,$2695548,-,Materials,B0BVFJ5,US0442091049,New York Stock Exchange Inc.
R,RYDER SYSTEM INC,Equity,0.0344,62.00,92992,$5765504,-,Industrials,2760669,US7835491082,New York Stock Exchange Inc.
CF,CF INDUSTRIES HOLDINGS INC,Equity,0.0508,91.46,93094,$8514377,-,Materials,B0G4K50,US1252691001,New York Stock Exchange Inc.
RL,POLO RALPH LAUREN CORP.,Equity,0.0372,66.64,93682,$6242968,-,Consumer Discretionary,2018409,US7315721032,New York Stock Exchange Inc.
SHLD,SEARS HOLDINGS CORP,Equity,0.0523,93.50,93721,$8762913,-,Consumer Discretionary,2634805,US8123501061,NASDAQ
SNA,SNAP-ON INC.,Equity,0.0297,52.66,94669,$4985270,-,Consumer Discretionary,2818740,US8330341012,New York Stock Exchange Inc.
DDS,DILLARDS INC CLASS A,Equity,0.0067,11.80,95198,$1123336,-,Consumer Discretionary,2269768,US2540671011,New York Stock Exchange Inc.
HAR,HARMAN INTERNATIONAL INDUSTRIES IN,Equity,0.0194,34.07,95296,$3246735,-,Consumer Discretionary,2411138,US4130861093,New York Stock Exchange Inc.
BDK,THE BLACK & DECKER CORPORATION,Equity,0.0358,60.75,98777,$6000703,-,Consumer Discretionary,2101503,US0917971006,New York Stock Exchange Inc.
GWW,WW GRAINGER INC,Equity,0.0551,86.97,106259,$9241345,-,Industrials,2380863,US3848021040,New York Stock Exchange Inc.
MX4A,CME GROUP INC CLASS A,Equity,0.2444,371.51,110285,$40971980,-,Financials,B012KV5,US12572Q1058,Boerse Berlin
MA,MASTERCARD INC CLASS A,Equity,0.1257,177.33,118827,$21071592,-,Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
WHR,WHIRLPOOL CORP,Equity,0.0580,79.29,122620,$9722540,-,Consumer Discretionary,2960384,US9633201069,New York Stock Exchange Inc.
KBH,KB HOME,Equity,0.0145,19.68,123497,$2430421,-,Consumer Discretionary,2485070,US48666K1097,New York Stock Exchange Inc.
