Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
MDP,MEREDITH CORP.,Equity,0.0176,62.25,64231,$3998380,-,Consumer Discretionary,2578516,US5894331017,New York Stock Exchange Inc.
GAS.2,NICOR INC,Equity,0.0144,43.27,75715,$3276188,-,Utilities,2639509,US6540861076,New York Stock Exchange Inc.
AZO,AUTOZONE INC,Equity,0.0417,124.41,76255,$9486885,-,Consumer Discretionary,2065955,US0533321024,New York Stock Exchange Inc.
MX4A,CME GROUP INC CLASS A,Equity,0.2587,666.25,88394,$58892503,-,Financials,B012KV5,US12572Q1058,Boerse Berlin
MIL.,MILLIPORE CORP,Equity,0.0308,77.65,90215,$7005195,-,Health Care,2594437,US6010731098,New York Stock Exchange Inc.
ASH,ASHLAND INC,Equity,0.0240,58.72,93048,$5463779,-,Materials,B0BVFJ5,US0442091049,New York Stock Exchange Inc.
SNA,SNAP-ON INC.,Equity,0.0212,49.91,96703,$4826447,-,Consumer Discretionary,2818740,US8330341012,New York Stock Exchange Inc.
RL,POLO RALPH LAUREN CORP.,Equity,0.0302,68.80,99868,$6870918,-,Consumer Discretionary,2018409,US7315721032,New York Stock Exchange Inc.
R,RYDER SYSTEM INC,Equity,0.0210,47.85,99951,$4782655,-,Industrials,2760669,US7835491082,New York Stock Exchange Inc.
DDS,DILLARDS INC CLASS A,Equity,0.0102,23.03,100535,$2315321,-,Consumer Discretionary,2269768,US2540671011,New York Stock Exchange Inc.
HAR,HARMAN INTERNATIONAL INDUSTRIES IN,Equity,0.0401,84.20,108491,$9134942,-,Consumer Discretionary,2411138,US4130861093,New York Stock Exchange Inc.
DJ,DOW JONES & COMPANY INC.,Equity,0.0287,59.81,109105,$6525570,-,Consumer Discretionary,2279002,US2605611050,New York Stock Exchange Inc.
BDK,THE BLACK & DECKER CORPORATION,Equity,0.0432,89.91,109303,$9827433,-,Consumer Discretionary,2101503,US0917971006,New York Stock Exchange Inc.
ICE,INTERCONTINENTALEXCHANGE INC.,Equity,0.0903,178.20,115356,$20556439,-,Financials,B0PBS81,US45865V1008,New York Stock Exchange Inc.
GWW,WW GRAINGER INC,Equity,0.0472,89.92,119481,$10743732,-,Industrials,2380863,US3848021040,New York Stock Exchange Inc.
HCR,MANOR CARE INC.,Equity,0.0357,66.58,122176,$8134478,-,Health Care,2417868,US5640551017,New York Stock Exchange Inc.
MTZ,M&T BANK CORP,Equity,0.0547,99.48,125163,$12451215,-,Financials,B0184C2,US55261F1049,Deutsche Boerse Ag
OMX,OFFICEMAX INC.,Equity,0.0175,31.65,125801,$3981602,-,Consumer Discretionary,2109002,US67622P1012,New York Stock Exchange Inc.
SHLD,SEARS HOLDINGS CORP,Equity,0.0746,134.79,126046,$16989740,-,Consumer Discretionary,2634805,US8123501061,NASDAQ
TEG,INTEGRYS ENERGY GROUP INC.,Equity,0.0299,53.81,126289,$6795611,-,Utilities,2982098,US45822P1057,New York Stock Exchange Inc.
TEK,TEKTRONIX INC.,Equity,0.0211,37.85,126808,$4799683,-,Information Technology,2880501,US8791311009,New York Stock Exchange Inc.
KBH,KB HOME,Equity,0.0156,27.64,128635,$3555471,-,Consumer Discretionary,2485070,US48666K1097,New York Stock Exchange Inc.
TRB,TRIBUNE COMPANY,Equity,0.0171,30.26,128718,$3895007,-,Consumer Discretionary,2903550,US8960471071,New York Stock Exchange Inc.
WHR,WHIRLPOOL CORP,Equity,0.0451,79.18,129774,$10275505,-,Consumer Discretionary,2960384,US9633201069,New York Stock Exchange Inc.
AVB,AVALONBAY COMMUNITIES REIT INC,Equity,0.0716,122.65,132933,$16304232,-,Financials,2131179,US0534841012,New York Stock Exchange Inc.
MTG,MGIC INVESTMENT CORP,Equity,0.0117,19.36,137000,$2652320,-,Financials,2548616,US5528481030,New York Stock Exchange Inc.
SWK,STANLEY WORKS,Equity,0.0347,57.55,137060,$7887803,-,Consumer Discretionary,2840549,US8546161097,New York Stock Exchange Inc.
EMN,EASTMAN CHEMICAL,Equity,0.0410,66.59,139990,$9321934,-,Materials,2298386,US2774321002,New York Stock Exchange Inc.
TIE,TITANIUM METALS CORP.,Equity,0.0217,35.20,140379,$4941341,-,Materials,2340931,US8883392073,New York Stock Exchange Inc.
CIEN,CIENA CORP,Equity,0.0301,47.86,143060,$6846852,-,Information Technology,B1FLZ21,US1717793095,New York Stock Exchange Inc.
BF.B,BROWN FORMAN CORP CLASS B,Equity,0.0467,73.98,143786,$10637288,-,Consumer Staples,2146838,US1156372096,New York Stock Exchange Inc.
ANF,ABERCROMBIE & FITCH CO. CL A,Equity,0.0502,79.20,144247,$11424362,-,Consumer Discretionary,2004185,US0028962076,New York Stock Exchange Inc.
WEN.2,WENDYS INTERNATIONAL INC.,Equity,0.0223,34.76,145835,$5069225,-,Consumer Discretionary,2947956,US9505901093,New York Stock Exchange Inc.
FII,FEDERATED INVESTORS INC.,Equity,0.0276,43.00,145856,$6271808,-,Financials,2246288,US3142111034,New York Stock Exchange Inc.
FLR,FLUOR CORP,Equity,0.1019,158.00,146859,$23203722,-,Industrials,2696838,US3434121022,New York Stock Exchange Inc.
VFC,VF CORP,Equity,0.0565,87.13,147712,$12870147,-,Consumer Discretionary,2928683,US9182041080,New York Stock Exchange Inc.
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Equity,0.0341,52.21,148679,$7762531,-,Materials,2464165,US4595061015,New York Stock Exchange Inc.
BC,BRUNSWICK CORP,Equity,0.0146,22.31,148804,$3319817,-,Consumer Discretionary,2149309,US1170431092,New York Stock Exchange Inc.
SSP,E.W. SCRIPPS CO. CL A,Equity,0.0295,45.01,149266,$6718463,-,Consumer Discretionary,2862532,US8110544025,New York Stock Exchange Inc.
JNY,JONES GROUP INC,Equity,0.0144,20.94,156112,$3268985,-,Consumer Discretionary,2477152,US48020T1016,New York Stock Exchange Inc.
LXK,LEXMARK INTERNATIONAL INC.,Equity,0.0291,41.99,157563,$6616070,-,Information Technology,2511908,US5297711070,New York Stock Exchange Inc.
VMC,VULCAN MATERIALS,Equity,0.0597,85.51,158819,$13580613,-,Materials,2931205,US9291601097,New York Stock Exchange Inc.
TMK,TORCHMARK CORP,Equity,0.0455,65.16,158984,$10359397,-,Financials,2896713,US8910271043,New York Stock Exchange Inc.
AIZ,ASSURANT INC,Equity,0.0413,58.44,160883,$9402003,-,Financials,2331430,US04621X1081,New York Stock Exchange Inc.
AIV,APARTMENT INVESTMENT & MANAGEMENT,Equity,0.0331,46.73,161161,$7531054,-,Financials,2057059,US03748R1014,New York Stock Exchange Inc.
ACS,AFFILIATED COMPUTER SERVICES INC.,Equity,0.0370,50.66,166419,$8430787,-,Information Technology,2034524,US0081901003,New York Stock Exchange Inc.
